"","CERTIFY","APPROVE","SPECCERT","WOULDYOU","RECERT","SUBDISC","COLLEGE","EMPLOY","WORKENV","WORKACT","YEARSMEM"
"232",2,2,2,1,1,"BA","P","E","A","E",58
"233",5,2,5,2,1,"","P","E","A","E",15
"234",2,3,2,1,5,"BE","P","E","A","R",4
"235",3,3,5,5,5,"BI","P","E","A","E",15
"236",5,5,5,5,5,"BP","M","E","I","R",55
"237",5,5,5,2,2,"SS","P","S","G","R",9
"238",1,2,2,1,1,"BE","M","E","I","C",58
"239",3,3,2,1,5,"SS","P","E","I","R",36
"240",1,1,2,2,1,"BI","P","E","A","E",26
"241",2,2,3,1,1,"PE","P","E","I","C",19
"242",2,3,5,5,1,"BI","P","S","I","R",15
"243",5,5,5,5,1,"PE","P","R","A","C",37
"244",1,2,5,2,1,"","M","S","I","P",14
"245",5,5,5,2,5,"BI","P","E","A","E",14
"246",2,3,5,5,3,"CE","M","E","A","E",3
"247",1,1,5,2,3,"","P","E","A","E",25
"248",1,2,4,2,2,"BI","P","E","A","R",20
"249",1,2,4,1,5,"GV","M","E","G","C",8
"250",5,5,5,2,5,"BI","P","E","A","R",15
"251",2,3,2,5,2,"CE","P","R","A","E",26
"252",5,5,5,5,1,"BP","P","E","I","P",26
"253",1,1,5,1,2,"BP","P","E","I","C",12
"254",1,1,1,5,1,"EN","P","E","A","E",36
"255",1,0,1,1,1,"PE","M","E","I","P",6
"256",5,5,5,4,5,"SR","P","E","G","C",15
"257",2,3,2,2,5,"SR","M","E","G","P",55
"258",1,2,2,1,1,"","P","E","A","E",17
"259",1,1,5,1,3,"QP","M","E","I","C",14
"260",5,5,5,5,5,"BE","P","E","A","R",14
"261",5,3,5,4,5,"BP","P","E","I","R",59
"262",5,5,5,5,5,"BI","P","E","G","P",26
"263",1,2,1,1,1,"SR","M","E","G","C",24
"264",4,3,4,5,3,"SR","M","E","I","C",47
"265",5,5,2,5,2,"","M","R","G","C",3
"266",5,5,5,4,3,"BI","M","E","G","R",15
"267",5,5,5,5,3,"PE","P","E","A","E",13
"268",3,2,5,4,4,"CM","M","E","G","C",12
"269",1,5,5,2,5,"BI","P","E","G","P",15
"270",2,2,1,1,5,"GV","M","E","G","C",14
"271",5,4,3,4,1,"PE","B","S","I","C",15
"272",5,5,5,1,5,"BP","M","E","A","R",47
"273",5,5,5,5,5,"GV","B","E","G","R",26
"274",2,2,4,1,4,"BI","P","U","A","R",20
"275",5,5,5,5,5,"BI","M","E","G","C",9
"276",5,3,5,5,2,"SG","P","E","A","R",58
"277",2,4,5,2,1,"PE","P","E","A","R",20
"278",1,1,5,1,5,"BI","P","E","A","R",4
"279",5,5,5,2,3,"BI","P","E","G","R",47
"280",5,5,5,5,3,"BI","P","E","A","R",23
"281",1,1,1,1,3,"QP","P","I","","S",36
"282",4,4,2,4,5,"SS","P","E","I","P",10
"283",5,5,2,1,2,"BA","P","S","G","R",25
"284",4,4,5,5,4,"SS","M","U","","C",58
"285",5,5,5,4,5,"BI","M","E","I","R",9
"286",2,4,4,2,4,"EN","P","E","A","E",55
"287",1,3,3,5,2,"GV","M","R","G","P",37
"288",5,5,5,4,5,"GV","M","E","G","P",47
"289",5,5,5,4,5,"BI","P","E","G","R",17
"290",5,5,5,5,5,"BP","M","E","I","P",25
"291",1,3,2,2,5,"PE","P","E","A","E",8
"292",1,3,2,2,1,"CM","B","E","I","P",3
"293",5,5,4,2,2,"BP","M","E","I","P",47
"294",2,2,4,2,5,"BE","P","E","A","E",25
"295",5,5,5,5,5,"EN","P","R","A","E",37
"296",5,5,5,4,5,"EN","M","E","G","C",9
"297",1,1,2,1,1,"PE","P","E","I","P",19
"298",2,2,5,1,4,"CE","M","E","G","C",47
"299",3,3,5,5,1,"SS","P","R","A","R",37
"300",5,5,5,4,1,"QP","","S","A","E",55
"301",4,4,5,2,5,"SR","M","E","I","R",3
"302",5,0,5,3,5,"BE","M","E","I","P",55
"303",5,5,5,2,5,"CE","M","E","A","E",3
"304",5,5,5,5,5,"CM","P","E","G","P",20
"305",5,5,5,1,5,"SS","P","E","A","R",16
"306",1,3,3,1,2,"BE","P","E","G","R",15
"307",5,5,5,5,5,"BP","M","E","I","P",10
"308",4,4,4,2,1,"","B","E","G","R",17
"309",2,3,5,1,5,"SR","B","E","I","C",3
"310",2,0,0,1,2,"CM","M","I","A","S",36
"311",1,5,1,5,1,"CE","P","E","A","E",4
"312",3,3,4,1,4,"BP","M","E","I","C",36
"313",5,4,4,4,2,"QP","B","E","I","",8
"314",1,2,4,1,2,"SR","P","E","G","O",7
"315",5,5,5,5,5,"BE","M","E","I","C",6
"316",5,5,5,4,5,"BE","M","E","I","R",3
"317",5,5,5,5,5,"SS","P","E","G","R",20
"318",1,3,5,4,2,"BE","P","E","G","P",15
"319",2,2,3,2,2,"PE","M","E","I","P",12
"320",2,3,2,2,1,"QP","M","E","I","C",55
"321",5,5,5,5,1,"GV","M","E","G","P",31
"322",5,5,5,2,2,"BE","M","E","G","",15
"323",5,5,5,5,5,"BI","P","E","I","C",4
"324",1,1,1,1,1,"BI","P","E","G","C",4
"325",5,5,5,5,5,"BI","P","E","G","C",26
"326",5,5,5,5,5,"BE","M","S","I","C",58
"327",1,2,1,1,1,"SR","P","E","A","R",6
"328",1,1,2,1,2,"BE","P","S","I","C",11
"329",5,5,5,5,5,"BP","P","E","G","R",58
"330",2,2,5,2,5,"MR","P","E","I","R",3
"331",2,2,2,2,2,"GV","P","E","G","R",3
"332",5,5,5,5,5,"GV","M","E","G","R",9
"333",5,5,5,1,5,"BP","M","E","I","R",14
"334",5,4,5,1,1,"PE","P","E","G","R",3
"335",5,5,5,5,5,"SR","M","E","I","P",6
"336",1,1,2,1,2,"BP","P","S","I","C",4
"337",2,2,4,1,2,"BI","P","E","I","R",20
"338",5,5,5,1,5,"","M","E","I","P",8
"339",4,3,5,1,5,"BP","P","E","I","P",5
"340",1,2,2,1,2,"BP","P","E","I","P",58
"341",5,4,5,5,5,"BA","P","E","A","R",26
"342",1,1,2,1,2,"PE","M","E","G","C",3
"343",5,5,5,5,5,"CM","M","E","A","E",9
"344",4,5,5,4,2,"GV","M","U","G","P",4
"345",5,5,5,3,5,"GV","M","E","G","C",25
"346",3,2,1,1,1,"CE","P","E","A","E",55
"347",1,1,5,1,5,"BE","M","E","I","R",18
"348",2,2,4,1,2,"BP","P","E","I","P",16
"349",5,5,5,4,5,"SR","P","E","G","P",17
"350",5,5,5,3,5,"CE","P","E","A","E",10
"351",2,2,2,2,1,"EN","P","E","A","R",15
"352",5,4,5,1,5,"BI","P","E","I","S",25
"353",5,5,5,5,5,"CM","M","E","I","P",25
"354",1,1,2,1,5,"PE","P","E","A","E",58
"355",3,3,3,5,3,"GV","B","E","G","P",4
"356",5,5,5,5,5,"","M","E","G","R",3
"357",3,4,3,2,4,"BP","M","E","A","R",3
"358",2,2,4,2,4,"PE","P","E","I","R",59
"359",5,5,5,1,5,"CM","M","E","A","C",7
"360",5,5,5,5,5,"SR","P","E","G","P",20
"361",5,5,5,5,5,"BA","P","E","A","R",4
"362",5,5,5,4,5,"BE","M","E","I","R",25
"363",5,5,5,5,1,"BE","P","E","A","E",9
"364",3,3,4,5,3,"TH","P","E","A","E",20
"365",1,2,3,4,5,"PE","P","E","A","E",15
"366",2,2,4,2,2,"EN","P","E","I","C",26
"367",4,3,4,4,2,"BI","P","R","I","P",37
"368",1,3,5,5,1,"CE","P","R","A","E",37
"369",5,5,5,5,5,"QP","M","E","A","E",58
"370",2,3,3,4,4,"QP","P","E","A","E",5
"371",5,5,5,4,3,"EN","P","S","I","C",3
"372",5,5,5,5,2,"BE","P","E","A","R",25
"373",5,5,5,5,1,"SS","P","E","A","R",7
"374",5,5,5,2,5,"BI","M","E","G","R",36
"375",2,2,4,2,2,"BI","M","E","G","R",12
"376",5,5,5,5,5,"SE","P","E","A","E",31
"377",1,1,5,1,1,"BI","P","E","A","C",17
"378",5,5,5,2,5,"QP","M","S","I","C",27
"379",5,5,5,5,5,"SS","P","E","A","R",9
"380",5,5,5,5,5,"PE","P","E","A","R",19
"381",5,5,5,1,5,"SG","P","E","A","E",47
"382",5,5,5,5,3,"","P","E","A","E",9
"383",5,4,5,4,2,"QP","M","E","I","P",3
"384",2,2,5,4,3,"","P","E","A","R",59
"385",1,1,5,1,1,"GV","M","E","G","P",12
"386",1,2,2,1,2,"PE","P","E","G","C",47
"387",5,4,1,2,1,"BE","M","E","I","P",8
"388",3,3,5,2,4,"BE","P","E","A","R",15
"389",5,5,5,5,5,"BP","P","E","I","P",12
"390",5,5,5,5,5,"BE","P","E","G","P",8
"391",5,5,5,2,5,"QP","M","E","I","C",57
"392",3,3,3,3,3,"","B","E","I","R",14
"393",2,4,2,2,5,"CM","P","E","I","C",55
"394",4,3,5,1,3,"BI","M","E","G","R",12
"395",5,4,2,4,5,"QP","M","E","I","C",3
"396",1,2,5,1,4,"BE","M","E","I","C",14
"397",1,1,5,2,5,"BE","P","E","I","R",36
"398",5,5,5,2,1,"BP","M","E","I","P",47
"399",5,5,5,5,5,"GV","B","R","G","R",30
"400",3,3,3,5,3,"GV","M","E","G","R",14
"401",2,4,5,1,5,"CM","M","E","I","P",7
"402",5,5,5,2,3,"","P","E","A","R",4
"403",5,5,5,5,5,"GV","P","E","G","P",31
"404",1,3,2,5,1,"CM","","E","G","P",3
"405",5,0,0,5,0,"SR","M","S","I","C",37
"406",2,3,2,4,2,"GV","M","E","G","P",6
"407",3,3,5,2,5,"BP","M","E","I","C",9
"408",1,1,2,1,2,"CM","M","E","A","C",4
"409",5,5,5,5,5,"BI","P","E","A","E",15
"410",5,5,5,1,1,"MR","P","E","A","E",9
"411",4,3,1,2,1,"PE","P","E","I","P",6
"412",5,3,5,5,5,"BI","P","S","A","C",26
"413",5,5,5,3,3,"SS","P","E","A","E",15
"414",4,3,4,2,4,"SR","P","E","G","R",4
"415",5,4,3,2,5,"GV","M","E","G","P",36
"416",2,2,1,4,5,"SR","M","E","I","P",3
"417",1,1,1,4,1,"BE","P","E","A","E",15
"418",1,3,3,1,5,"BI","M","E","G","R",3
"419",5,5,5,5,5,"BI","P","E","A","E",15
"420",4,2,5,5,2,"PE","P","R","A","R",42
"421",4,4,5,3,2,"SP","P","E","A","E",55
"422",2,2,4,2,3,"CM","P","E","A","R",20
"423",5,5,5,4,5,"BP","M","E","I","R",4
"424",5,5,5,5,5,"BI","P","E","A","R",4
"425",1,2,4,2,4,"BI","P","E","A","E",47
"426",3,1,3,2,2,"CE","P","E","A","E",31
"427",5,4,5,1,5,"SS","P","E","A","E",3
"428",2,3,1,1,5,"BE","P","E","A","R",14
"429",5,5,5,5,5,"BA","P","E","A","R",16
"430",5,5,5,5,1,"BE","P","E","A","E",47
"431",1,1,5,1,5,"BE","M","E","I","P",14
"432",2,5,5,4,5,"PE","M","E","G","P",25
"433",5,5,5,2,2,"BI","M","E","A","C",36
"434",1,4,5,2,3,"BP","P","I","A","S",25
"435",1,1,1,1,1,"BP","P","E","I","R",18
"436",2,2,4,1,3,"QP","M","E","I","P",58
"437",4,4,5,5,3,"BI","P","E","A","E",14
"438",5,5,5,5,3,"QP","M","E","I","C",47
"439",5,5,5,2,1,"SS","P","E","A","R",14
"440",3,3,3,3,3,"CM","M","E","A","C",14
"441",1,2,2,1,5,"BI","P","E","G","R",47
"442",2,2,1,2,5,"BI","P","E","A","E",3
"443",2,4,5,2,3,"GV","P","E","G","C",15
"444",2,3,1,5,1,"BE","M","R","","",50
"445",5,5,1,1,1,"BA","B","E","I","P",3
"446",5,5,5,3,5,"BI","P","E","A","R",19
"447",5,5,5,5,5,"BI","P","E","I","C",9
"448",1,2,1,1,4,"CM","M","S","G","R",3
"449",2,4,1,2,1,"BI","M","E","I","R",59
"450",2,2,2,4,5,"PE","P","E","A","R",26
"451",1,1,2,5,3,"SS","P","R","","",26
"452",5,5,5,5,1,"BI","P","E","G","R",19
"453",2,4,4,5,3,"SS","P","E","I","C",3
"454",5,5,5,4,5,"CM","P","E","I","P",9
"455",5,5,5,1,2,"BE","P","E","A","E",15
"456",4,4,4,1,2,"SR","P","E","","",5
"457",5,5,5,5,5,"BE","P","E","A","R",15
"458",2,5,5,2,5,"BP","P","E","I","C",15
"459",1,1,1,1,5,"QP","P","E","A","E",19
"460",1,3,5,1,5,"BP","P","E","I","R",12
"461",5,5,5,2,5,"BP","P","S","A","R",25
"462",5,3,2,1,1,"BI","P","S","I","C",10
"463",1,3,1,1,5,"CM","P","E","A","E",47
"464",5,5,5,1,5,"PE","P","E","I","C",12
"465",2,4,2,2,2,"PE","M","E","I","C",55
"466",5,5,5,5,3,"SS","P","R","A","R",14
"467",5,4,5,2,2,"BP","P","E","I","P",15
"468",1,2,4,1,2,"BI","P","E","A","P",19
"469",5,5,5,5,5,"BI","P","E","A","R",4
"470",2,2,2,5,5,"TH","P","E","A","E",47
"471",5,5,5,5,3,"BI","P","E","I","R",25
"472",5,5,5,4,5,"SR","B","E","G","",19
"473",2,3,2,1,1,"BE","M","E","I","P",14
"474",1,1,1,1,1,"SS","P","E","A","R",19
"475",5,5,5,2,5,"BA","P","E","G","P",15
"476",1,2,2,1,1,"SS","M","E","A","R",47
"477",3,3,3,3,3,"SS","P","E","A","R",43
"478",5,5,1,5,1,"PE","P","E","I","P",15
"479",5,4,5,3,4,"BI","M","E","G","R",47
"480",2,3,5,2,5,"SR","M","E","G","C",12
"481",2,2,3,1,3,"SR","M","E","G","C",25
"482",5,5,5,5,5,"CM","P","E","G","R",14
"483",5,5,5,5,5,"BE","P","E","I","R",58
"484",5,5,5,5,5,"SR","M","E","G","R",3
"485",1,1,2,1,2,"GV","M","E","G","P",14
"486",5,5,5,5,5,"SS","P","E","G","C",6
"487",5,5,5,5,5,"SR","M","E","G","P",12
"488",5,5,5,5,5,"SR","B","E","G","P",26
"489",1,2,1,1,2,"CM","P","E","A","R",14
"490",1,0,1,1,1,"BI","P","E","A","R",25
"491",1,2,2,1,1,"QP","M","E","I","C",47
"492",1,1,1,1,1,"BE","M","E","I","P",15
"493",2,5,2,2,2,"BI","P","E","G","R",15
"494",1,1,4,1,4,"BI","P","E","A","E",20
"495",1,1,5,5,5,"BI","M","E","I","P",26
"496",4,4,4,4,4,"GV","P","E","G","",15
"497",5,5,5,1,5,"BE","P","E","G","P",15
"498",2,4,2,1,2,"SS","P","E","A","E",15
"499",2,4,3,5,4,"CE","P","E","A","E",59
"500",2,3,2,2,4,"BI","M","E","G","R",14
"501",5,5,5,2,5,"BA","M","I","A","S",36
"502",5,5,5,5,1,"SS","B","E","A","R",25
"503",2,2,5,1,2,"TH","P","E","A","E",7
"504",5,5,5,5,5,"PE","P","E","A","R",16
"505",1,1,2,5,4,"","P","E","A","R",11
"506",2,4,3,4,1,"","P","E","A","R",26
"507",5,5,3,3,3,"BI","P","E","A","R",7
"508",5,5,5,5,5,"CM","P","E","A","E",5
"509",2,2,4,1,3,"SS","P","E","A","R",57
"510",1,1,5,1,1,"PE","P","E","A","R",18
"511",5,5,5,4,5,"SS","P","E","A","R",4
"512",5,5,5,4,2,"BE","P","E","A","R",26
"513",1,1,1,1,1,"BI","M","E","I","R",26
"514",5,5,5,5,5,"QP","P","S","I","C",26
"515",1,1,5,1,5,"QP","M","E","G","P",15
