Id,Guests,Adults,Children,Leisure,Business,Cottage
300268,,,,,,
300269,,2,2,0,0,0
300270,,2,0,0,1,1
300271,,1,0,0,1,0
300272,,2,3,0,0,0
300273,,,,,,
300274,,3,0,1,0,0
300275,,,,,,
300276,,2,0,1,0,2
300277,,3,0,0,0,0
300278,,2,2,0,0,0
300279,,,,,,
300280,,,,,,
300281,,2,3,0,0,0
300282,,2,2,3,0,3
300283,,2,2,0,0,2
300284,,2,1,0,0,0
300285,,,,,,
300286,,,,,,
300287,,,,,,
300288,,3,0,0,0,3
300289,,2,0,1,0,0
300290,,,,,,
300291,,2,0,0,0,0
300292,,,,,,
300293,,2,0,0,0,0
300294,,,,,,
300295,,,,,,
300296,,3,0,1,0,0
300297,,3,0,1,0,4
300298,,,,,,
300299,,2,0,1,0,1
300300,,2,0,0,0,0
300301,,,,,,
300302,,,,,,
300303,,,,,,
300304,1,2,3,0,0,7
300305,,,,,,
300306,,2,4,0,0,2
300307,,2,0,0,0,8
300308,,2,0,1,0,2
300309,,3,1,0,0,2
300310,,2,0,0,0,0
300311,,2,0,0,0,0
300312,,1,0,0,0,0
300313,,2,1,0,0,1
300314,,2,2,0,1,0
300315,1,2,4,0,0,0
300316,,2,2,0,0,1
300317,,4,2,0,0,15
300318,,3,1,2,0,20
300319,,1,,,,
300320,,2,0,0,0,0
300321,,2,0,0,0,0
300322,,2,0,0,0,1
300323,,2,1,1,0,0
300324,,2,2,,,
300325,,2,0,1,2,0
300326,,3,0,0,0,1
300327,,4,0,0,0,1
300328,,,,,,
300329,,2,1,0,0,0
300330,,2,3,0,0,6
300331,,2,0,0,0,4
300332,,2,0,1,0,0
300333,,2,0,0,0,3
300334,,2,0,0,0,0
300335,,2,0,0,3,2
300336,,,,,,
300337,,3,2,0,0,0
300338,,2,1,0,1,0
300339,,2,5,0,0,0
300340,,,,,,
300341,,,,,,
300342,,1,0,0,0,0
300343,,1,0,0,0,0
300344,,3,1,1,0,0
300345,,3,0,0,0,0
300346,,,,,,
300347,,2,0,0,0,1
300348,,,,,,
300349,,2,0,1,0,1
300350,,,,,,
300351,,3,2,0,0,0
300352,,2,0,1,0,1
300353,,,,,,
300354,,2,2,0,0,0
300355,,4,0,0,0,0
300356,,2,0,0,0,0
300357,,2,0,0,0,3
300358,,2,0,0,0,1
300359,1,2,0,0,0,1
300360,,2,0,0,0,0
300361,,2,2,1,0,2
300362,,,,,,
300363,,2,0,0,0,0
300364,,2,0,1,0,12
300365,,2,0,0,0,0
300366,,2,0,2,0,2
300367,,2,0,0,0,0
300368,,,,,,
300369,,1,2,0,0,0
300370,,2,0,0,0,0
300371,,,,,,
300372,,,,,,
300373,,,,,,
300374,1,2,0,0,0,6
300375,,2,0,0,0,0
300376,,3,0,1,0,1
300377,,2,0,0,0,0
300378,,2,0,0,0,1
300379,,,,,,
300380,1,2,2,1,2,1
300381,,,,,,
300382,,2,0,0,0,0
300383,,2,0,0,0,0
300384,,,,,,
300385,,2,0,0,0,0
300386,,2,2,0,0,2
300387,,3,0,0,0,10
300388,,,,,,
300389,,,,,,
300390,,2,0,1,0,1
300391,,2,0,1,0,0
300392,,,,,,
300393,,3,0,0,0,0
300394,,2,0,0,0,6
300395,,2,1,0,2,5
300396,,3,1,0,0,1
300397,,2,2,1,0,0
300398,,1,0,1,5,3
300399,,,,,,
300400,,,,,,
300401,,2,1,0,0,1
300402,,2,1,0,0,2
300403,,3,0,0,0,2
300404,,4,0,0,0,3
300405,,5,1,0,0,0
300406,,1,0,0,0,10
300407,2,1,0,1,0,1
300408,,3,0,0,0,1
300409,,2,0,1,0,0
300410,,2,0,0,0,1
300411,,,,,,
300412,,4,1,2,0,1
300413,,,,,,
300414,2,2,2,0,0,1
300415,,,,,,
300416,,,,,,
300417,,,,,,
300418,,3,3,0,0,1
300419,,,,,,
300420,,2,0,0,0,0
300421,,2,0,0,0,0
300422,,2,0,0,0,5
300423,,2,0,1,0,1
300424,,2,2,0,0,2
300425,,2,0,1,1,5
300426,,,,,,
300427,,2,2,0,0,1
300428,,2,2,0,0,3
300429,,4,0,0,0,2
300430,,,,,,
300431,,,,,,
300432,,,,,,
300433,,,,,,
300434,,1,0,0,0,2
300435,,,,,,
300436,,2,0,0,0,2
300437,,,,,,
300438,,2,2,0,0,1
300439,,2,1,0,0,1
300440,,2,1,0,0,0
300441,,3,1,0,0,30
300442,,1,0,0,0,0
300443,,,,,,
300444,,3,0,0,0,2
300445,,2,2,0,0,0
300446,,2,1,0,0,0
300447,,,,,,
300448,,1,0,0,0,0
300449,,,,,,
300450,,2,0,2,0,0
300451,,2,0,0,0,0
300452,,,,,,
300453,,,,,,
300454,,2,2,0,0,1
300455,,2,2,0,0,0
300456,,2,2,0,0,10
300457,,,,,,
300458,,,,,,
300459,,5,2,1,0,0
300460,,,,,,
300461,,,,,,
300462,,1,0,0,0,0
300463,,5,2,0,0,0
300464,,4,1,0,0,0
300465,,2,5,0,0,0
300466,,,,,,
300467,,,,,,
300468,,,,,,
300469,,4,0,0,0,0
300470,,3,0,0,0,0
300471,,2,0,0,0,0
300472,,,,,,
300473,,,,,,
300474,,,,,,
300475,,2,0,1,0,0
300476,,2,1,0,0,0
300477,,,,,,
300478,,2,2,0,0,0
300479,,2,0,0,0,0
300480,,1,0,1,0,1
300481,,,,,,
300482,,,,,,
300483,,1,0,0,0,0
300484,,2,0,1,1,4
300485,,3,0,0,0,0
300486,,3,0,0,0,0
300487,,,,,,
300488,1,1,0,1,0,2
300489,,1,0,0,0,5
300490,,1,0,2,0,0
300491,,2,0,0,0,1
300492,,1,1,2,0,1
300493,,2,1,0,0,2
300494,,4,0,0,0,1
300495,,2,0,0,0,0
300496,,3,0,0,0,1
300497,,,,,,
300498,,,,,,
300499,,2,0,0,1,0
300500,,,,,,
300501,,,,,,
300502,1,2,0,0,0,2
300503,,,,,,
300504,,3,1,2,0,0
300505,,1,0,0,0,0
300506,,2,0,1,0,1
300507,,2,1,0,0,0
300508,,3,1,1,0,0
300509,,2,3,1,0,1
300510,,2,1,0,0,2
300511,,2,1,0,0,1
300512,,1,0,0,0,0
300513,,3,0,0,0,0
300514,,1,0,0,0,0
300515,,,,,,
300516,,2,0,0,0,0
300517,,2,0,0,0,0
300518,,,,,,
300519,,2,0,1,0,1
300520,,2,0,0,0,1
300521,,2,1,1,0,0
300522,,3,1,0,1,1
300523,,2,2,1,0,0
300524,,1,0,0,0,5
300525,,2,0,0,0,0
300526,,2,0,0,0,0
300527,,2,0,0,0,0
300528,,4,0,1,0,1
300529,,2,0,0,0,0
300530,,2,1,1,0,0
300531,,,,,,
300532,,2,2,0,0,0
300533,,,,,,
300534,,1,0,0,0,0
300535,,2,0,0,0,0
300536,,,,,,
300537,,2,0,1,0,1
300538,,3,1,0,1,1
300539,1,1,0,0,0,10
300540,,2,0,0,0,0
300541,,2,1,0,1,1
300542,,2,0,0,0,1
300543,,,,,,
300544,,1,0,0,0,0
300545,,,,,,
300546,,2,0,0,1,1
300547,,3,2,0,0,0
300548,,,,,,
300549,,1,4,0,0,0
300550,,2,0,0,0,4
300551,,2,2,1,0,0
300552,,,,,,
300553,,,,,,
300554,,,,,,
300555,,,,,,
300556,,3,1,0,0,0
300557,,1,0,0,0,1
300558,,2,0,0,0,0
300559,1,2,0,2,0,1
300560,,2,0,0,0,0
300561,,4,0,1,0,2
300562,,1,0,0,0,0
300563,,,,,,
300564,,6,1,0,0,0
300565,,,,,,
300566,,2,0,0,0,0
300567,,,,,,
300568,,,,,,
300569,,,,,,
300570,,,,,,
300571,,,,,,
300572,,1,0,0,0,0
300573,,2,0,0,0,0
300574,,,,,,
300575,,4,1,0,0,2
300576,,3,0,0,0,0
300577,,2,0,0,0,0
300578,,2,0,0,0,0
300579,,1,0,0,0,0
300580,,1,0,0,0,2
300581,,2,0,0,0,0
300582,,,,,,
300583,,2,1,0,0,3
300584,,4,1,0,0,0
300585,,1,2,0,0,0
300586,,3,1,0,0,1
300587,,1,0,0,0,0
300588,,,,,,
300589,,1,0,0,0,2
300590,,1,0,0,0,0
300591,,,,,,
300592,,2,0,1,0,1
300593,,1,0,0,0,0
300594,,1,0,0,0,0
300595,,1,0,0,0,0
300596,,3,0,0,0,2
300597,,3,1,1,2,2
300598,,2,3,1,0,0
300599,,2,2,0,1,1
300600,,1,0,0,0,0
300601,,4,1,0,0,0
300602,,3,1,0,0,0
300603,,1,0,0,0,0
300604,,,,,,
300605,,1,0,1,0,2
300606,,2,1,0,0,0
300607,,4,1,0,0,0
300608,,,,,,
300609,,,,,,
300610,,2,0,0,0,0
300611,,3,0,0,0,1
300612,,3,0,0,0,0
300613,1,2,1,1,0,1
300614,,2,2,0,0,0
300615,,4,0,0,0,0
300616,,,,,,
300617,,,,,,
300618,,2,0,0,0,3
300619,,2,0,0,0,10
300620,,2,0,0,0,0
300621,,2,2,1,0,2
300622,,,,,,
300623,,,,,,
300624,,2,2,0,0,0
300625,,,,,,
300626,,2,0,0,0,0
300627,,,,,,
300628,,2,0,0,0,1
300629,,,,,,
300630,,1,0,0,0,0
300631,,,,,,
300632,,2,3,0,0,0
300633,,,,,,
300634,,2,0,0,0,0
300635,,2,0,1,0,1
300636,,4,1,1,0,2
300637,,5,0,0,0,8
300638,,2,0,0,0,0
300639,,2,0,1,0,1
300640,,2,0,0,0,0
300641,,2,0,0,0,1
300642,,2,0,0,0,0
300643,,,,,,
300644,,2,0,0,20,10
300645,,3,0,0,0,0
300646,,2,2,1,0,0
300647,,,,,,
300648,,1,0,0,0,0
300649,,,,,,
300650,,4,0,0,0,0
300651,,1,0,0,0,0
300652,,2,1,0,0,0
300653,,2,1,1,0,0
300654,,,,,,
300655,,,,,,
300656,,,,,,
300657,,4,0,0,0,6
300658,,3,3,1,0,7
300659,,1,0,0,0,0
300660,,2,0,0,0,0
300661,,2,0,0,0,0
300662,,2,0,0,0,0
300663,,,,,,
300664,,1,0,3,0,3
300665,,,,,,
300666,,2,1,0,0,0
300667,,2,2,0,0,0
300668,,1,0,0,0,5
300669,,,,,,
300670,,1,0,0,0,1
300671,,,,,,
300672,,2,0,2,0,0
300673,,,,,,
300674,,2,0,1,0,1
300675,,2,0,0,0,0
300676,,,,,,
300677,,,,,,
300678,,,,,,
300679,,,,,,
300680,,,,,,
300681,,1,0,0,0,2
300682,,2,0,,,0
300683,,,,,,
300684,,2,2,1,4,3
300685,,2,2,0,0,0
300686,,,,,,
300687,,2,0,1,0,0
300688,,1,0,0,0,1
300689,,1,0,1,0,12
300690,,2,0,0,0,0
300691,,2,0,0,0,6
300692,,3,1,2,0,2
300693,,1,0,0,0,0
300694,,2,0,0,0,0
300695,,2,0,1,0,1
300696,,2,2,0,1,2
300697,,,,,,
300698,,3,0,0,0,0
300699,,2,0,1,0,0
300700,,2,0,0,0,0
300701,1,2,0,1,0,0
300702,,3,0,0,0,0
300703,,2,3,1,0,8
300704,,,,,,
300705,,2,1,0,0,0
300706,,,,,,
300707,,1,0,0,0,5
300708,,3,1,0,0,3
300709,,1,0,0,0,0
300710,,1,0,0,0,0
300711,,1,0,0,0,0
300712,,,,,,
300713,,2,2,1,0,2
300714,,2,3,0,0,2
300715,,2,4,0,0,2
300716,,2,3,0,0,0
300717,,,,,,
300718,,,,,,
300719,,,,,,
300720,,,,,,
300721,,,,,,
300722,,,,,,
300723,,,,,,
300724,,3,2,1,1,0
300725,,2,2,1,0,0
300726,,,,,,
300727,,3,0,2,0,15
300728,,2,0,1,0,0
300729,,1,0,0,0,10
300730,,2,0,1,0,12
300731,,2,0,0,0,0
300732,,2,0,0,0,5
300733,,,,,,
300734,,2,0,2,1,20
300735,,2,0,0,0,0
300736,,2,0,1,0,10
300737,,3,0,0,0,0
300738,,,,,,
300739,,1,0,0,0,0
300740,,2,1,0,0,0
300741,,2,2,0,0,0
300742,,,,,,
300743,,3,0,0,0,0
300744,,2,0,0,0,3
300745,,1,0,0,0,0
300746,,1,0,1,0,1
300747,,1,0,0,0,0
300748,,2,2,0,0,0
300749,,3,1,1,0,0
300750,,1,0,0,0,3
300751,,2,1,0,0,0
300752,,,,,,
300753,2,2,0,0,0,3
300754,,,,,,
300755,,1,0,0,0,0
300756,,2,0,0,0,0
300757,,1,0,0,0,2
300758,,2,0,0,0,2
300759,,1,0,0,0,3
300760,,1,1,0,0,1
300761,,2,1,0,0,0
300762,,2,0,1,1,0
300763,,,,,,
300764,,2,1,1,4,2
300765,,1,0,0,0,0
300766,,2,0,0,0,1
300767,,,,,,
300768,1,2,0,1,0,0
300769,,2,0,0,0,1
300770,,5,0,0,0,0
300771,,2,2,1,0,0
300772,,2,2,0,0,0
300773,,3,0,0,0,1
300774,,,,,,
300775,,2,0,1,0,0
300776,,2,0,0,0,0
300777,,2,0,0,0,6
300778,1,2,0,1,0,0
300779,,4,0,1,4,1
300780,,2,0,0,0,0
300781,,,,,,
300782,,4,1,0,0,0
300783,,2,0,0,0,3
300784,,2,0,0,0,0
300785,,1,0,0,0,0
300786,,,,,,
300787,,2,0,0,0,1
300788,,,,,,
300789,,2,0,1,0,0
300790,,3,0,1,0,1
300791,,,,,,
300792,,2,0,0,0,0
300793,,3,0,0,0,0
300794,,3,0,0,0,0
300795,1,2,2,1,0,1
300796,,3,1,0,0,0
300797,,2,2,0,0,0
300798,,1,0,0,0,0
300799,,2,0,0,0,0
300800,,2,0,0,0,0
300801,,2,0,1,0,0
300802,,2,0,1,0,0
300803,,1,0,1,0,0
300804,,2,0,0,0,0
300805,,2,1,0,0,0
300806,,1,0,0,0,0
300807,,2,2,0,0,0
300808,,2,2,0,0,0
300809,,2,0,0,0,5
300810,,1,0,0,0,0
300811,,,,,,
300812,,1,0,0,0,0
300813,,1,0,0,0,0
300814,,,,,,
300815,,2,0,0,0,0
300816,,2,0,1,0,0
300817,,,,,,
300818,,,,,,
300819,,3,0,0,1,0
300820,,2,3,0,0,0
300821,,1,0,0,0,0
300822,,4,1,1,0,2
300823,,2,0,0,2,2
300824,,2,2,0,0,0
300825,,,,,,
300826,,2,0,0,0,0
300827,,2,0,0,0,0
300828,,,,,,
300829,,2,0,0,0,0
300830,,2,2,0,0,1
300831,,,,,,
300832,,2,0,0,0,0
300833,,2,0,0,5,3
300834,,1,2,0,0,0
300835,,2,0,0,0,0
300836,,2,3,0,0,0
300837,,2,0,1,0,3
300838,,,,,,
300839,,2,0,0,0,0
300840,,,,,,
300841,,2,0,1,0,1
300842,,2,0,0,0,5
300843,,3,0,1,0,1
300844,,4,0,0,0,0
300845,,1,0,0,5,0
300846,,4,0,0,0,0
300847,,,,,,
300848,,6,0,0,0,0
300849,,3,0,0,0,0
300850,,,,,,
300851,,1,0,0,0,0
300852,,,,,,
300853,,1,0,0,0,2
300854,,,,,,
300855,,2,0,0,0,1
300856,,,,,,
300857,,2,2,1,0,0
300858,,3,0,1,0,0
300859,,3,0,0,0,1
300860,,4,0,1,0,2
300861,,,,,,
300862,,2,2,1,0,1
300863,,,,,,
300864,,2,0,3,1,15
300865,,4,1,0,0,3
300866,,2,1,1,0,2
300867,,2,0,0,0,3
300868,,,,,,
300869,,,,,,
300870,,,,,,
300871,,1,0,2,4,0
300872,,2,99,1,0,0
300873,,,,,,
300874,,2,0,0,0,0
300875,,2,0,0,0,0
300876,,1,0,0,0,1
300877,,1,0,0,0,0
300878,,1,0,0,0,0
300879,,,,,,
300880,,2,0,0,0,0
300881,,3,0,0,2,1
300882,,2,0,0,0,0
300883,,2,0,1,1,5
300884,,1,0,0,1,1
300885,,,,,,
300886,,,,,,
300887,,3,1,1,0,0
300888,,4,0,0,0,2
300889,,,,,,
300890,,2,4,0,0,2
300891,,,,,,
300892,,2,2,0,0,0
300893,,2,1,0,0,0
300894,,2,0,0,1,2
300895,,1,0,0,0,0
300896,,2,0,0,0,0
300897,,2,0,0,0,0
300898,,1,0,0,0,0
300899,,,,,,
300900,,,,,,
300901,,3,0,1,3,1
300902,,2,0,2,0,0
300903,,2,1,0,0,0
300904,,2,3,1,0,0
300905,2,2,3,0,0,1
300906,,2,2,0,0,0
300907,,4,0,0,0,4
300908,,3,1,0,0,2
300909,,,,,,
300910,,,,,,
300911,,,,,,
300912,,2,0,0,1,0
300913,,3,0,0,0,0
300914,,,,,,
300915,,,,,,
300916,,,,,,
300917,,4,0,0,0,0
300918,,,,,,
300919,,3,0,0,0,1
300920,,5,1,2,0,0
300921,,2,1,0,0,0
300922,,,,,,
300923,,1,2,0,0,0
300924,,3,0,0,0,0
300925,,2,1,0,0,0
300926,,,,,,
300927,,2,1,0,0,0
300928,,2,0,0,0,0
300929,,2,0,0,0,0
300930,,2,0,0,0,0
300931,,1,0,0,0,0
300932,,2,0,2,0,1
300933,,2,0,0,0,0
300934,,2,0,0,0,0
300935,,2,0,0,0,1
300936,,3,0,0,0,2
300937,,2,1,0,0,0
300938,,1,0,0,0,0
300939,,,,,,
300940,,2,2,1,0,3
300941,,2,2,0,0,0
300942,,,,,,
300943,1,2,0,1,0,0
300944,,,,,,
300945,1,5,0,0,0,0
300946,,1,0,0,0,0
300947,,2,0,0,0,0
300948,,,,,,
300949,,2,1,1,1,3
300950,,2,1,0,0,0
300951,,,,,,
300952,,2,2,0,0,0
300953,,2,3,0,6,0
300954,,2,0,0,0,0
300955,,2,0,0,0,1
300956,,,,,,
300957,,2,0,0,0,2
300958,,2,0,0,0,0
300959,,4,0,0,0,0
300960,,2,0,0,0,2
300961,,2,2,1,0,2
300962,,,,,,
300963,,1,0,0,0,1
300964,,,,,,
300965,,4,0,1,0,0
300966,,,,,,
300967,,2,0,0,0,0
300968,,,,,,
300969,,2,0,0,0,0
300970,,2,0,0,0,6
300971,,,,,,
300972,,1,3,0,1,0
300973,,2,0,0,0,2
300974,,,,,,
300975,,2,2,1,0,0
300976,1,4,0,0,0,2
300977,,2,1,0,0,22
300978,,,,,,
300979,,1,0,0,0,0
300980,1,1,0,0,0,1
300981,,1,0,0,0,0
300982,,2,2,1,7,2
300983,,2,0,1,0,0
300984,,,,,,
300985,,2,0,0,0,0
300986,,,,,,
300987,,,,,,
300988,,2,0,0,0,0
300989,,,,,,
300990,,2,0,0,0,0
300991,,2,0,2,0,0
300992,,2,0,0,0,2
300993,,1,0,,,
300994,,3,0,0,0,0
300995,,3,0,0,0,0
300996,,2,2,0,0,0
300997,,2,1,0,0,0
300998,,4,1,0,0,0
300999,,2,0,0,0,0
301000,,2,2,0,0,1
301001,,3,1,1,0,0
301002,,1,0,0,0,0
301003,,,,,,
301004,,2,0,2,0,0
301005,,2,0,0,0,0
301006,,,,,,
301007,,2,5,0,0,0
301008,,2,2,0,2,0
301009,,4,2,0,0,0
301010,,,,,,
301011,,,,,,
301012,,2,0,0,0,0
301013,,2,0,1,0,0
301014,,1,0,0,0,0
301015,,2,0,0,0,0
301016,,2,0,0,0,3
301017,,2,0,1,0,0
301018,,,,,,
301019,,2,1,0,0,0
301020,,,,,,
301021,,2,0,0,0,3
301022,,3,0,1,0,0
301023,,2,1,1,0,3
301024,,2,0,0,0,0
301025,,2,0,1,0,1
301026,,1,0,2,0,0
301027,,2,2,0,0,1
301028,,2,1,0,0,1
301029,,,,,,
301030,,,,,,
301031,,1,0,0,0,0
301032,,3,2,0,0,1
301033,,,,,,
301034,,1,0,0,0,1
301035,,,,,,
301036,,,,,,
301037,,2,0,0,0,0
301038,,2,0,1,0,0
301039,,2,0,1,0,0
301040,,2,0,1,0,0
301041,,2,0,1,0,0
301042,,2,0,1,0,0
301043,,2,0,0,1,1
301044,,,,,,
301045,,2,3,1,3,4
301046,,1,0,0,0,2
301047,,1,0,0,0,0
301048,,,,,,
301049,,2,0,0,0,2
301050,,,,,,
301051,,1,0,0,0,0
301052,,,,,,
301053,,2,0,0,0,0
301054,,2,0,1,0,0
301055,,2,2,1,0,0
301056,,1,1,0,0,0
301057,,,,,,
301058,,,,,,
301059,,2,0,0,0,0
301060,,,,,,
301061,,,,,,
301062,,2,0,0,0,0
301063,,2,0,0,0,0
301064,,2,0,0,0,0
301065,,2,0,0,0,4
301066,,,,,,
301067,,3,1,0,0,4
301068,,2,0,0,0,0
301069,,2,3,0,0,1
301070,,2,2,0,0,2
301071,,,,,,
301072,,1,0,1,0,2
301073,,,,,,
301074,,2,2,0,2,0
301075,,,,,,
301076,,,,,,
301077,,2,0,0,0,1
301078,,,,,,
301079,,4,0,0,0,1
301080,,3,2,0,0,0
301081,,4,0,1,0,0
301082,,,,,,
301083,1,2,0,2,0,1
301084,,2,0,0,0,0
301085,,,,,,
301086,,3,0,0,0,1
301087,,2,2,1,0,0
301088,,7,0,0,0,0
301089,,,,,,
301090,,,,,,
301091,,,,,,
301092,,1,0,0,0,0
301093,,,,,,
301094,,,,,,
301095,,2,0,0,0,0
301096,,1,0,0,0,1
301097,,4,0,0,0,1
301098,,2,0,0,0,0
301099,,2,2,0,0,2
301100,,2,1,1,0,1
301101,,2,0,0,0,1
301102,,2,0,0,0,2
301103,,2,0,0,0,0
