"SurveyResponseID","AnswerNumber","CycleOwnership"
3187600,66,"Take your own bike to NZ"
3187666,62,"Take your own bike to NZ"
3187675,68,"Take your own bike to NZ"
3188227,64,"Take your own bike to NZ"
3188386,81,"Take your own bike to NZ"
3188497,69,"Take your own bike to NZ"
3188514,70,"Take your own bike to NZ"
3188532,69,"Take your own bike to NZ"
3188592,74,"Take your own bike to NZ"
3189370,72,"Take your own bike to NZ"
3189428,67,"Take your own bike to NZ"
3189562,62,"Take your own bike to NZ"
3189804,53,"Take your own bike to NZ"
3189808,61,"Take your own bike to NZ"
3189901,53,"Take your own bike to NZ"
3190022,82,"Take your own bike to NZ"
3190104,77,"Take your own bike to NZ"
3190112,78,"Take your own bike to NZ"
3190152,64,"Take your own bike to NZ"
3190211,67,"Take your own bike to NZ"
3190294,69,"Take your own bike to NZ"
3191167,68,"Take your own bike to NZ"
3191184,60,"Take your own bike to NZ"
3191213,61,"Take your own bike to NZ"
3191220,74,"Take your own bike to NZ"
3191239,72,"Take your own bike to NZ"
3191245,64,"Take your own bike to NZ"
3191248,74,"Take your own bike to NZ"
3191267,55,"Take your own bike to NZ"
3191305,71,"Take your own bike to NZ"
3191315,55,"Take your own bike to NZ"
3191326,84,"Take your own bike to NZ"
3191335,73,"Take your own bike to NZ"
3191339,72,"Take your own bike to NZ"
3191376,69,"Take your own bike to NZ"
3191392,70,"Take your own bike to NZ"
3191426,73,"Take your own bike to NZ"
3191431,68,"Take your own bike to NZ"
3191434,74,"Take your own bike to NZ"
3191445,79,"Take your own bike to NZ"
3191449,69,"Take your own bike to NZ"
3191620,72,"Take your own bike to NZ"
3191633,70,"Take your own bike to NZ"
3191638,69,"Take your own bike to NZ"
3191643,69,"Take your own bike to NZ"
3191646,62,"Take your own bike to NZ"
3191663,68,"Take your own bike to NZ"
3191698,65,"Take your own bike to NZ"
3191700,66,"Take your own bike to NZ"
3191731,75,"Take your own bike to NZ"
3191733,59,"Take your own bike to NZ"
3191741,72,"Take your own bike to NZ"
3191742,71,"Take your own bike to NZ"
3191777,73,"Take your own bike to NZ"
3191794,65,"Take your own bike to NZ"
3191803,77,"Take your own bike to NZ"
3191807,68,"Take your own bike to NZ"
3461421,56,"Take your own bike to NZ"
3461431,64,"Take your own bike to NZ"
3461441,56,"Take your own bike to NZ"
3461466,64,"Take your own bike to NZ"
3461515,80,"Take your own bike to NZ"
3461559,84,"Take your own bike to NZ"
3461598,73,"Take your own bike to NZ"
3461603,74,"Take your own bike to NZ"
3461613,62,"Take your own bike to NZ"
3461597,76,"Take your own bike to NZ"
3461647,65,"Take your own bike to NZ"
3461671,62,"Take your own bike to NZ"
3461798,72,"Take your own bike to NZ"
3461835,61,"Take your own bike to NZ"
3461848,68,"Take your own bike to NZ"
3461846,69,"Take your own bike to NZ"
3462516,90,"Take your own bike to NZ"
3462570,88,"Take your own bike to NZ"
3463848,71,"Take your own bike to NZ"
3463911,71,"Take your own bike to NZ"
3464138,76,"Take your own bike to NZ"
3464180,67,"Take your own bike to NZ"
3464287,152,"Take your own bike to NZ"
3464339,78,"Take your own bike to NZ"
3466330,79,"Take your own bike to NZ"
3466603,85,"Take your own bike to NZ"
3466713,71,"Take your own bike to NZ"
3471590,67,"Take your own bike to NZ"
3471606,62,"Take your own bike to NZ"
3471616,63,"Take your own bike to NZ"
3471627,77,"Take your own bike to NZ"
3471670,62,"Take your own bike to NZ"
3471684,81,"Take your own bike to NZ"
3471657,73,"Take your own bike to NZ"
3471730,72,"Take your own bike to NZ"
3471734,71,"Take your own bike to NZ"
3471711,63,"Take your own bike to NZ"
3471842,83,"Take your own bike to NZ"
3471889,85,"Take your own bike to NZ"
3471897,73,"Take your own bike to NZ"
3471917,75,"Take your own bike to NZ"
3471975,70,"Take your own bike to NZ"
3471991,62,"Take your own bike to NZ"
3472019,64,"Take your own bike to NZ"
3472020,71,"Take your own bike to NZ"
3472017,80,"Take your own bike to NZ"
3472037,80,"Take your own bike to NZ"
3472049,90,"Take your own bike to NZ"
3472104,66,"Take your own bike to NZ"
3472213,67,"Take your own bike to NZ"
3472242,69,"Take your own bike to NZ"
3472322,59,"Take your own bike to NZ"
3472358,109,"Take your own bike to NZ"
3472359,66,"Take your own bike to NZ"
3472613,66,"Take your own bike to NZ"
3472667,75,"Take your own bike to NZ"
3522916,89,"Take your own bike to NZ"
3523271,53,"Take your own bike to NZ"
3523291,63,"Take your own bike to NZ"
3190751,61,"Take your own bike to NZ"
3190827,58,"Take your own bike to NZ"
3190893,62,"Take your own bike to NZ"
3190996,70,"Take your own bike to NZ"
3191003,92,"Take your own bike to NZ"
3191028,62,"Take your own bike to NZ"
3190998,80,"Take your own bike to NZ"
3191061,82,"Take your own bike to NZ"
3192509,93,"Take your own bike to NZ"
3193029,95,"Take your own bike to NZ"
3193112,68,"Take your own bike to NZ"
3193400,95,"Take your own bike to NZ"
3193540,62,"Take your own bike to NZ"
3193544,76,"Take your own bike to NZ"
3193623,65,"Take your own bike to NZ"
3193632,68,"Take your own bike to NZ"
3193584,69,"Take your own bike to NZ"
3193600,87,"Take your own bike to NZ"
3193666,81,"Take your own bike to NZ"
3193684,63,"Take your own bike to NZ"
3193733,67,"Take your own bike to NZ"
3193745,72,"Take your own bike to NZ"
3193829,74,"Take your own bike to NZ"
3193796,62,"Take your own bike to NZ"
3193835,68,"Take your own bike to NZ"
3193846,68,"Take your own bike to NZ"
3193862,68,"Take your own bike to NZ"
3193868,64,"Take your own bike to NZ"
3193882,64,"Take your own bike to NZ"
3193918,68,"Take your own bike to NZ"
3193923,69,"Take your own bike to NZ"
3193946,63,"Take your own bike to NZ"
3193950,67,"Take your own bike to NZ"
3193951,69,"Take your own bike to NZ"
3193982,64,"Take your own bike to NZ"
3194047,70,"Take your own bike to NZ"
3194051,74,"Take your own bike to NZ"
3194074,81,"Take your own bike to NZ"
3193883,62,"Take your own bike to NZ"
3193895,72,"Take your own bike to NZ"
3194117,79,"Take your own bike to NZ"
3194142,70,"Take your own bike to NZ"
3194143,86,"Take your own bike to NZ"
3194161,69,"Take your own bike to NZ"
3194177,64,"Take your own bike to NZ"
3194182,58,"Take your own bike to NZ"
3194194,69,"Take your own bike to NZ"
3194201,68,"Take your own bike to NZ"
3194203,66,"Take your own bike to NZ"
3194237,69,"Take your own bike to NZ"
3194245,73,"Take your own bike to NZ"
3194264,70,"Take your own bike to NZ"
3338187,62,"Take your own bike to NZ"
3338195,65,"Take your own bike to NZ"
3338335,71,"Take your own bike to NZ"
3338992,64,"Take your own bike to NZ"
3338994,66,"Take your own bike to NZ"
3339083,77,"Take your own bike to NZ"
3472769,54,"Take your own bike to NZ"
3472772,58,"Take your own bike to NZ"
3472927,56,"Take your own bike to NZ"
3473026,57,"Take your own bike to NZ"
3473039,65,"Take your own bike to NZ"
3473064,64,"Take your own bike to NZ"
3497308,65,"Take your own bike to NZ"
3497322,64,"Take your own bike to NZ"
3497348,65,"Take your own bike to NZ"
3497378,74,"Take your own bike to NZ"
3497404,59,"Take your own bike to NZ"
3497459,66,"Take your own bike to NZ"
3497499,57,"Take your own bike to NZ"
3497817,62,"Take your own bike to NZ"
3523067,53,"Take your own bike to NZ"
3523442,94,"Take your own bike to NZ"
3523456,87,"Take your own bike to NZ"
3523547,81,"Take your own bike to NZ"
3523965,67,"Take your own bike to NZ"
3524550,87,"Take your own bike to NZ"
3524606,61,"Take your own bike to NZ"
3524654,88,"Take your own bike to NZ"
3337555,81,"Take your own bike to NZ"
3337776,68,"Take your own bike to NZ"
3337846,73,"Take your own bike to NZ"
3337991,64,"Take your own bike to NZ"
3338342,70,"Take your own bike to NZ"
3338637,68,"Take your own bike to NZ"
3338643,71,"Take your own bike to NZ"
3338669,72,"Take your own bike to NZ"
3338696,73,"Take your own bike to NZ"
3338769,66,"Take your own bike to NZ"
3338772,58,"Take your own bike to NZ"
3339173,70,"Take your own bike to NZ"
3339207,69,"Take your own bike to NZ"
3339279,71,"Take your own bike to NZ"
3339394,59,"Take your own bike to NZ"
3339269,60,"Take your own bike to NZ"
3339621,59,"Take your own bike to NZ"
3339776,71,"Take your own bike to NZ"
3339749,66,"Take your own bike to NZ"
3461995,63,"Take your own bike to NZ"
3462003,63,"Take your own bike to NZ"
3462007,86,"Take your own bike to NZ"
3462021,70,"Take your own bike to NZ"
3462032,78,"Take your own bike to NZ"
3462084,68,"Take your own bike to NZ"
3462088,91,"Take your own bike to NZ"
3462123,83,"Take your own bike to NZ"
3462180,71,"Take your own bike to NZ"
3462197,77,"Take your own bike to NZ"
3465465,74,"Take your own bike to NZ"
3465563,74,"Take your own bike to NZ"
3465668,54,"Take your own bike to NZ"
3466247,83,"Take your own bike to NZ"
3473185,56,"Take your own bike to NZ"
3473216,62,"Take your own bike to NZ"
3496415,59,"Take your own bike to NZ"
3497877,68,"Take your own bike to NZ"
3497879,57,"Take your own bike to NZ"
3497907,65,"Take your own bike to NZ"
3497919,72,"Take your own bike to NZ"
3497925,75,"Take your own bike to NZ"
3497927,70,"Take your own bike to NZ"
3497932,71,"Take your own bike to NZ"
3497969,74,"Take your own bike to NZ"
3497977,66,"Take your own bike to NZ"
3497990,77,"Take your own bike to NZ"
3497992,70,"Take your own bike to NZ"
3498015,57,"Take your own bike to NZ"
3498016,73,"Take your own bike to NZ"
3498033,84,"Take your own bike to NZ"
3498034,84,"Take your own bike to NZ"
3498043,70,"Take your own bike to NZ"
3498069,72,"Take your own bike to NZ"
3498095,80,"Take your own bike to NZ"
3498106,73,"Take your own bike to NZ"
3498127,62,"Take your own bike to NZ"
3498143,85,"Take your own bike to NZ"
3498152,73,"Take your own bike to NZ"
3498168,78,"Take your own bike to NZ"
3498177,79,"Take your own bike to NZ"
3498181,80,"Take your own bike to NZ"
3498189,77,"Take your own bike to NZ"
3502054,64,"Take your own bike to NZ"
3502615,56,"Take your own bike to NZ"
3502621,55,"Take your own bike to NZ"
3502657,78,"Take your own bike to NZ"
3502727,100,"Take your own bike to NZ"
3502916,56,"Take your own bike to NZ"
3522710,69,"Take your own bike to NZ"
3524070,69,"Take your own bike to NZ"
3524178,62,"Take your own bike to NZ"
3524406,104,"Take your own bike to NZ"
3524416,84,"Hire a bike in NZ"
3524430,82,"Hire a bike in NZ"
3524380,64,"Hire a bike in NZ"
3524386,79,"Hire a bike in NZ"
3524439,85,"Hire a bike in NZ"
3524334,103,"Hire a bike in NZ"
3524473,91,"Hire a bike in NZ"
3524486,93,"Hire a bike in NZ"
3524490,72,"Hire a bike in NZ"
3524496,77,"Hire a bike in NZ"
3524198,119,"Hire a bike in NZ"
3524145,126,"Hire a bike in NZ"
3524157,64,"Hire a bike in NZ"
3524159,65,"Hire a bike in NZ"
3522812,79,"Hire a bike in NZ"
3522814,86,"Hire a bike in NZ"
3522742,115,"Hire a bike in NZ"
3522709,76,"Hire a bike in NZ"
3524057,77,"Hire a bike in NZ"
3524244,82,"Hire a bike in NZ"
3524292,86,"Hire a bike in NZ"
3524293,85,"Hire a bike in NZ"
3524303,79,"Hire a bike in NZ"
3524341,75,"Hire a bike in NZ"
3524348,74,"Hire a bike in NZ"
3524355,78,"Hire a bike in NZ"
3522719,88,"Hire a bike in NZ"
3522683,82,"Hire a bike in NZ"
3522651,96,"Hire a bike in NZ"
3522654,68,"Hire a bike in NZ"
3522672,103,"Hire a bike in NZ"
3522675,69,"Hire a bike in NZ"
3503643,91,"Hire a bike in NZ"
3503651,61,"Hire a bike in NZ"
3522563,85,"Hire a bike in NZ"
3522617,133,"Hire a bike in NZ"
3522647,64,"Hire a bike in NZ"
3498180,71,"Hire a bike in NZ"
3503034,80,"Hire a bike in NZ"
3503063,72,"Hire a bike in NZ"
3503068,57,"Hire a bike in NZ"
3503084,62,"Hire a bike in NZ"
3503392,85,"Hire a bike in NZ"
3522576,73,"Hire a bike in NZ"
3522582,111,"Hire a bike in NZ"
3522587,63,"Hire a bike in NZ"
3522592,89,"Hire a bike in NZ"
3522593,97,"Hire a bike in NZ"
3522597,77,"Hire a bike in NZ"
3522600,94,"Hire a bike in NZ"
3522603,92,"Hire a bike in NZ"
3522613,79,"Hire a bike in NZ"
3502919,64,"Hire a bike in NZ"
3502927,75,"Hire a bike in NZ"
3502904,66,"Hire a bike in NZ"
3502914,68,"Hire a bike in NZ"
3502941,69,"Hire a bike in NZ"
3502950,93,"Hire a bike in NZ"
3502954,84,"Hire a bike in NZ"
3502957,82,"Hire a bike in NZ"
3503020,75,"Hire a bike in NZ"
3502824,77,"Hire a bike in NZ"
3502734,96,"Hire a bike in NZ"
3502756,91,"Hire a bike in NZ"
3502662,71,"Hire a bike in NZ"
3502276,75,"Hire a bike in NZ"
3502685,86,"Hire a bike in NZ"
3502697,73,"Hire a bike in NZ"
3502701,78,"Hire a bike in NZ"
3502639,109,"Hire a bike in NZ"
3502578,96,"Hire a bike in NZ"
3502592,65,"Hire a bike in NZ"
3502597,79,"Hire a bike in NZ"
3502129,73,"Hire a bike in NZ"
3502133,77,"Hire a bike in NZ"
3502160,81,"Hire a bike in NZ"
3502169,108,"Hire a bike in NZ"
3502197,100,"Hire a bike in NZ"
3502088,86,"Hire a bike in NZ"
3502256,86,"Hire a bike in NZ"
3502048,86,"Hire a bike in NZ"
3502014,74,"Hire a bike in NZ"
3502026,103,"Hire a bike in NZ"
3498168,79,"Hire a bike in NZ"
3498150,66,"Hire a bike in NZ"
3498034,85,"Hire a bike in NZ"
3498015,58,"Hire a bike in NZ"
3497954,65,"Hire a bike in NZ"
3497937,60,"Hire a bike in NZ"
3497939,70,"Hire a bike in NZ"
3497927,71,"Hire a bike in NZ"
3497907,66,"Hire a bike in NZ"
3496208,85,"Hire a bike in NZ"
3496232,113,"Hire a bike in NZ"
3496415,60,"Hire a bike in NZ"
3473226,74,"Hire a bike in NZ"
3496163,79,"Hire a bike in NZ"
3496174,73,"Hire a bike in NZ"
3466297,84,"Hire a bike in NZ"
3466427,83,"Hire a bike in NZ"
3466268,66,"Hire a bike in NZ"
3466270,88,"Hire a bike in NZ"
3466294,95,"Hire a bike in NZ"
3466261,57,"Hire a bike in NZ"
3465657,73,"Hire a bike in NZ"
3465661,103,"Hire a bike in NZ"
3465665,77,"Hire a bike in NZ"
3466231,62,"Hire a bike in NZ"
3466246,61,"Hire a bike in NZ"
3465747,81,"Hire a bike in NZ"
3465756,91,"Hire a bike in NZ"
3465783,77,"Hire a bike in NZ"
3465798,144,"Hire a bike in NZ"
3465824,76,"Hire a bike in NZ"
3465841,71,"Hire a bike in NZ"
3465846,75,"Hire a bike in NZ"
3465876,79,"Hire a bike in NZ"
3465883,150,"Hire a bike in NZ"
3466179,64,"Hire a bike in NZ"
3466180,95,"Hire a bike in NZ"
3466182,81,"Hire a bike in NZ"
3466197,72,"Hire a bike in NZ"
3465686,81,"Hire a bike in NZ"
3465701,97,"Hire a bike in NZ"
3465707,73,"Hire a bike in NZ"
3465611,82,"Hire a bike in NZ"
3465641,88,"Hire a bike in NZ"
3465570,63,"Hire a bike in NZ"
3465361,90,"Hire a bike in NZ"
3339766,76,"Hire a bike in NZ"
3465559,96,"Hire a bike in NZ"
3465470,93,"Hire a bike in NZ"
3465498,67,"Hire a bike in NZ"
3465501,91,"Hire a bike in NZ"
3465531,100,"Hire a bike in NZ"
3465532,55,"Hire a bike in NZ"
3465536,59,"Hire a bike in NZ"
3465546,68,"Hire a bike in NZ"
3464428,72,"Hire a bike in NZ"
3465374,77,"Hire a bike in NZ"
3464506,98,"Hire a bike in NZ"
3464528,79,"Hire a bike in NZ"
3464539,91,"Hire a bike in NZ"
3465315,66,"Hire a bike in NZ"
3465329,123,"Hire a bike in NZ"
3465340,71,"Hire a bike in NZ"
3465344,73,"Hire a bike in NZ"
3465349,88,"Hire a bike in NZ"
3465351,76,"Hire a bike in NZ"
3465352,93,"Hire a bike in NZ"
3462180,72,"Hire a bike in NZ"
3462105,140,"Hire a bike in NZ"
3462069,61,"Hire a bike in NZ"
3462084,69,"Hire a bike in NZ"
3462015,83,"Hire a bike in NZ"
3461938,76,"Hire a bike in NZ"
3339786,65,"Hire a bike in NZ"
3339593,62,"Hire a bike in NZ"
3339325,78,"Hire a bike in NZ"
3339333,79,"Hire a bike in NZ"
3339336,124,"Hire a bike in NZ"
3339226,65,"Hire a bike in NZ"
3339173,71,"Hire a bike in NZ"
3338855,67,"Hire a bike in NZ"
3338871,113,"Hire a bike in NZ"
3338887,71,"Hire a bike in NZ"
3338904,77,"Hire a bike in NZ"
3338812,90,"Hire a bike in NZ"
3338814,136,"Hire a bike in NZ"
3338816,77,"Hire a bike in NZ"
3338825,83,"Hire a bike in NZ"
3338847,99,"Hire a bike in NZ"
3338770,69,"Hire a bike in NZ"
3338778,67,"Hire a bike in NZ"
3338795,83,"Hire a bike in NZ"
3338796,62,"Hire a bike in NZ"
3338697,77,"Hire a bike in NZ"
3338713,71,"Hire a bike in NZ"
3338725,69,"Hire a bike in NZ"
3338683,71,"Hire a bike in NZ"
3338750,71,"Hire a bike in NZ"
3338643,72,"Hire a bike in NZ"
3338649,73,"Hire a bike in NZ"
3338659,62,"Hire a bike in NZ"
3338617,60,"Hire a bike in NZ"
3338365,62,"Hire a bike in NZ"
3338341,77,"Hire a bike in NZ"
3337991,65,"Hire a bike in NZ"
3338001,77,"Hire a bike in NZ"
3338024,60,"Hire a bike in NZ"
3337867,66,"Hire a bike in NZ"
3337926,61,"Hire a bike in NZ"
3337761,84,"Hire a bike in NZ"
3337983,68,"Hire a bike in NZ"
3337776,69,"Hire a bike in NZ"
3337794,70,"Hire a bike in NZ"
3337668,60,"Hire a bike in NZ"
3337705,60,"Hire a bike in NZ"
3337707,71,"Hire a bike in NZ"
3524761,96,"Hire a bike in NZ"
3337569,94,"Hire a bike in NZ"
3337612,67,"Hire a bike in NZ"
3524685,75,"Hire a bike in NZ"
3524703,87,"Hire a bike in NZ"
3524704,97,"Hire a bike in NZ"
3337535,97,"Hire a bike in NZ"
3524669,83,"Hire a bike in NZ"
3524554,76,"Hire a bike in NZ"
3524559,68,"Hire a bike in NZ"
3524646,62,"Hire a bike in NZ"
3524722,72,"Hire a bike in NZ"
3524723,63,"Hire a bike in NZ"
3524730,78,"Hire a bike in NZ"
3524732,71,"Hire a bike in NZ"
3524739,95,"Hire a bike in NZ"
3524742,61,"Hire a bike in NZ"
3524749,67,"Hire a bike in NZ"
3524613,93,"Hire a bike in NZ"
3524567,98,"Hire a bike in NZ"
3524599,85,"Hire a bike in NZ"
3524600,71,"Hire a bike in NZ"
3524601,74,"Hire a bike in NZ"
3524040,59,"Hire a bike in NZ"
3524504,104,"Hire a bike in NZ"
3524509,99,"Hire a bike in NZ"
3524528,75,"Hire a bike in NZ"
3524533,100,"Hire a bike in NZ"
3523973,60,"Hire a bike in NZ"
3523978,70,"Hire a bike in NZ"
3523981,77,"Hire a bike in NZ"
3523982,95,"Hire a bike in NZ"
3523990,62,"Hire a bike in NZ"
3523601,85,"Hire a bike in NZ"
3524003,66,"Hire a bike in NZ"
3524019,89,"Hire a bike in NZ"
3524020,115,"Hire a bike in NZ"
3524028,78,"Hire a bike in NZ"
3524030,115,"Hire a bike in NZ"
3523507,102,"Hire a bike in NZ"
3523529,102,"Hire a bike in NZ"
3523559,59,"Hire a bike in NZ"
3523608,56,"Hire a bike in NZ"
3523614,80,"Hire a bike in NZ"
3523622,58,"Hire a bike in NZ"
3523648,72,"Hire a bike in NZ"
3523070,101,"Hire a bike in NZ"
3523076,102,"Hire a bike in NZ"
3502864,66,"Hire a bike in NZ"
3502872,79,"Hire a bike in NZ"
3503099,68,"Hire a bike in NZ"
3522800,83,"Hire a bike in NZ"
3523065,94,"Hire a bike in NZ"
3523396,102,"Hire a bike in NZ"
3523428,114,"Hire a bike in NZ"
3523481,86,"Hire a bike in NZ"
3523490,67,"Hire a bike in NZ"
3497817,63,"Hire a bike in NZ"
3497499,58,"Hire a bike in NZ"
3497815,69,"Hire a bike in NZ"
3501758,89,"Hire a bike in NZ"
3501792,74,"Hire a bike in NZ"
3501812,61,"Hire a bike in NZ"
3501826,90,"Hire a bike in NZ"
3501827,76,"Hire a bike in NZ"
3501840,75,"Hire a bike in NZ"
3501850,71,"Hire a bike in NZ"
3501869,57,"Hire a bike in NZ"
3501897,94,"Hire a bike in NZ"
3501943,63,"Hire a bike in NZ"
3501947,70,"Hire a bike in NZ"
3501975,93,"Hire a bike in NZ"
3502285,84,"Hire a bike in NZ"
3497459,67,"Hire a bike in NZ"
3497435,82,"Hire a bike in NZ"
3497378,75,"Hire a bike in NZ"
3497308,66,"Hire a bike in NZ"
3473046,59,"Hire a bike in NZ"
3473049,75,"Hire a bike in NZ"
3472968,57,"Hire a bike in NZ"
3473000,62,"Hire a bike in NZ"
3472801,66,"Hire a bike in NZ"
3472764,60,"Hire a bike in NZ"
3472893,58,"Hire a bike in NZ"
3339691,79,"Hire a bike in NZ"
3339692,87,"Hire a bike in NZ"
3472698,53,"Hire a bike in NZ"
3339081,66,"Hire a bike in NZ"
