"SurveyResponseID","AnswerNumber","AmenityType","EnvPracticeRating"
3184751,141,"Public infrastructure","Ahead of most other places"
3184751,142,"Overall environmental management","Ahead of most other places"
3184724,160,"Overall environmental management","About average"
3184730,159,"Activity and attractions","Amongst the best in the world"
3184728,155,"Visitor transport","Behind most other places"
3184730,158,"Commercial accommodation","Don't know"
3184795,168,"Activity and attractions","Behind most other places"
3184795,167,"Commercial accommodation","About average"
3184703,156,"Visitor transport","About average"
3184728,156,"Public infrastructure","About average"
3184767,147,"Public infrastructure","Ahead of most other places"
3184722,132,"Public infrastructure","About average"
3184722,131,"Visitor transport","Behind most other places"
3184703,157,"Public infrastructure","Ahead of most other places"
3184767,148,"Overall environmental management","Ahead of most other places"
3184707,153,"Activity and attractions","Amongst the best in the world"
3184734,135,"Visitor transport","About average"
3184795,171,"Overall environmental management","Ahead of most other places"
3184767,146,"Visitor transport","Ahead of most other places"
3184728,157,"Overall environmental management","About average"
3184730,160,"Visitor transport","About average"
3184795,170,"Public infrastructure","About average"
3184799,153,"Activity and attractions","Ahead of most other places"
3184748,153,"Public infrastructure","About average"
3184730,162,"Overall environmental management","Ahead of most other places"
3184748,150,"Commercial accommodation","Amongst the best in the world"
3184707,155,"Public infrastructure","Amongst the best in the world"
3184703,158,"Overall environmental management","About average"
3184748,152,"Visitor transport","Ahead of most other places"
3184734,136,"Public infrastructure","About average"
3184707,152,"Commercial accommodation","About average"
3184722,133,"Overall environmental management","Ahead of most other places"
3184734,133,"Commercial accommodation","Ahead of most other places"
3184760,143,"Activity and attractions","Ahead of most other places"
3184772,153,"Activity and attractions","Ahead of most other places"
3184795,169,"Visitor transport","Don't know"
3184748,151,"Activity and attractions","Amongst the best in the world"
3184730,161,"Public infrastructure","Ahead of most other places"
3184734,134,"Activity and attractions","Amongst the best in the world"
3184707,154,"Visitor transport","Ahead of most other places"
3184748,154,"Overall environmental management","Ahead of most other places"
3184811,141,"Activity and attractions","Ahead of most other places"
3184742,152,"Activity and attractions","Ahead of most other places"
3184799,152,"Commercial accommodation","Don't know"
3184760,142,"Commercial accommodation","Ahead of most other places"
3184742,151,"Commercial accommodation","Behind most other places"
3184734,137,"Overall environmental management","Ahead of most other places"
3184811,140,"Commercial accommodation","About average"
3184772,152,"Commercial accommodation","Amongst the best in the world"
3184742,153,"Visitor transport","Behind most other places"
3184760,146,"Overall environmental management","Ahead of most other places"
3184707,156,"Overall environmental management","Ahead of most other places"
3184799,155,"Public infrastructure","Ahead of most other places"
3184799,154,"Visitor transport","About average"
3184760,144,"Visitor transport","About average"
3184760,145,"Public infrastructure","Ahead of most other places"
3184772,154,"Visitor transport","Don't know"
3184742,155,"Overall environmental management","Amongst the best in the world"
3184780,146,"Activity and attractions","Ahead of most other places"
3184772,156,"Overall environmental management","Amongst the best in the world"
3184799,156,"Overall environmental management","Ahead of most other places"
3184750,178,"Activity and attractions","About average"
3184746,135,"Activity and attractions","Behind most other places"
3184715,165,"Activity and attractions","Ahead of most other places"
3184742,154,"Public infrastructure","About average"
3184772,155,"Public infrastructure","Ahead of most other places"
3184746,134,"Commercial accommodation","Amongst the best in the world"
3184727,164,"Commercial accommodation","Ahead of most other places"
3184727,165,"Activity and attractions","Ahead of most other places"
3184715,164,"Commercial accommodation","Don't know"
3184780,145,"Commercial accommodation","Ahead of most other places"
3184750,177,"Commercial accommodation","Don't know"
3184715,166,"Visitor transport","Don't know"
3184780,147,"Visitor transport","Ahead of most other places"
3184746,136,"Visitor transport","Ahead of most other places"
3184811,144,"Overall environmental management","Don't know"
3184727,167,"Public infrastructure","About average"
3184784,156,"Public infrastructure","Ahead of most other places"
3184733,130,"Overall environmental management","Ahead of most other places"
3184815,131,"Public infrastructure","Ahead of most other places"
3184745,170,"Visitor transport","Ahead of most other places"
3184811,142,"Visitor transport","About average"
3184746,137,"Public infrastructure","Behind most other places"
3184784,153,"Commercial accommodation","About average"
3184746,138,"Overall environmental management","About average"
3184715,167,"Public infrastructure","About average"
3184733,127,"Activity and attractions","About average"
3184715,168,"Overall environmental management","Ahead of most other places"
3184780,149,"Overall environmental management","Don't know"
3184780,148,"Public infrastructure","Ahead of most other places"
3184766,143,"Activity and attractions","Ahead of most other places"
3184750,179,"Visitor transport","About average"
3184750,181,"Overall environmental management","Ahead of most other places"
3184727,166,"Visitor transport","Ahead of most other places"
3184815,130,"Visitor transport","About average"
3184727,168,"Overall environmental management","Ahead of most other places"
3184745,172,"Overall environmental management","Behind most other places"
3184784,155,"Visitor transport","About average"
3184831,149,"Visitor transport","Amongst the best in the world"
3184733,128,"Visitor transport","Ahead of most other places"
3184815,128,"Commercial accommodation","Don't know"
3184831,148,"Activity and attractions","Ahead of most other places"
3184753,166,"Activity and attractions","About average"
3184753,169,"Overall environmental management","Ahead of most other places"
3184831,151,"Overall environmental management","Amongst the best in the world"
3184811,143,"Public infrastructure","About average"
3184745,169,"Activity and attractions","Amongst the best in the world"
3184753,168,"Public infrastructure","Amongst the best in the world"
3184733,126,"Commercial accommodation","Ahead of most other places"
3184750,180,"Public infrastructure","Behind most other places"
3184831,150,"Public infrastructure","About average"
3184733,129,"Public infrastructure","Ahead of most other places"
3184784,157,"Overall environmental management","About average"
3184815,132,"Overall environmental management","Ahead of most other places"
3184745,171,"Public infrastructure","About average"
3184766,144,"Visitor transport","Don't know"
3184770,148,"Activity and attractions","Ahead of most other places"
3184788,142,"Activity and attractions","Don't know"
3184753,167,"Visitor transport","About average"
3184835,152,"Activity and attractions","Ahead of most other places"
3184766,146,"Overall environmental management","Ahead of most other places"
3184831,147,"Commercial accommodation","Ahead of most other places"
3184773,173,"Activity and attractions","Ahead of most other places"
3184784,154,"Activity and attractions","Ahead of most other places"
3184765,146,"Visitor transport","About average"
3184815,129,"Activity and attractions","About average"
3184847,159,"Activity and attractions","Ahead of most other places"
3184765,145,"Activity and attractions","Amongst the best in the world"
3184792,152,"Activity and attractions","Amongst the best in the world"
3184766,145,"Public infrastructure","Ahead of most other places"
3184745,168,"Commercial accommodation","Ahead of most other places"
3184766,142,"Commercial accommodation","Don't know"
3184765,148,"Overall environmental management","Ahead of most other places"
3184765,144,"Commercial accommodation","Don't know"
3184835,153,"Visitor transport","Ahead of most other places"
3184835,155,"Overall environmental management","About average"
3184788,143,"Visitor transport","About average"
3184770,150,"Public infrastructure","Ahead of most other places"
3184773,175,"Public infrastructure","About average"
3184788,145,"Overall environmental management","Ahead of most other places"
3184770,151,"Overall environmental management","Ahead of most other places"
3184793,160,"Activity and attractions","Ahead of most other places"
3184789,151,"Commercial accommodation","About average"
3184773,172,"Commercial accommodation","Behind most other places"
3184753,165,"Commercial accommodation","Don't know"
3184774,147,"Commercial accommodation","Don't know"
3184765,147,"Public infrastructure","Ahead of most other places"
3184770,149,"Visitor transport","Behind most other places"
3184788,141,"Commercial accommodation","About average"
3184773,174,"Visitor transport","About average"
3184847,160,"Visitor transport","About average"
3184835,154,"Public infrastructure","Ahead of most other places"
3184789,152,"Activity and attractions","Behind most other places"
3184863,164,"Activity and attractions","Ahead of most other places"
3184788,144,"Public infrastructure","Ahead of most other places"
3184774,148,"Activity and attractions","About average"
3184773,176,"Overall environmental management","Ahead of most other places"
3184792,151,"Commercial accommodation","About average"
3184770,147,"Commercial accommodation","Ahead of most other places"
3184796,141,"Commercial accommodation","Don't know"
3184835,151,"Commercial accommodation","Ahead of most other places"
3184863,163,"Commercial accommodation","Ahead of most other places"
3184792,154,"Public infrastructure","About average"
3184796,142,"Activity and attractions","Behind most other places"
3184847,158,"Commercial accommodation","Behind most other places"
3184793,159,"Commercial accommodation","About average"
3184792,153,"Visitor transport","Behind most other places"
3184789,153,"Visitor transport","Don't know"
3184793,162,"Public infrastructure","Amongst the best in the world"
3184774,150,"Public infrastructure","Amongst the best in the world"
3184789,155,"Overall environmental management","About average"
3184796,144,"Public infrastructure","Ahead of most other places"
3184863,166,"Public infrastructure","Ahead of most other places"
3184809,145,"Public infrastructure","Don't know"
3184875,164,"Public infrastructure","Ahead of most other places"
3184800,166,"Activity and attractions","Amongst the best in the world"
3184808,145,"Activity and attractions","Amongst the best in the world"
3184813,150,"Activity and attractions","Ahead of most other places"
3184875,161,"Commercial accommodation","Ahead of most other places"
3184883,134,"Commercial accommodation","Ahead of most other places"
3184863,165,"Visitor transport","Ahead of most other places"
3184789,154,"Public infrastructure","Behind most other places"
3184809,146,"Overall environmental management","Ahead of most other places"
3184809,143,"Activity and attractions","Ahead of most other places"
3184792,155,"Overall environmental management","Ahead of most other places"
3184883,135,"Activity and attractions","Amongst the best in the world"
3184847,162,"Overall environmental management","Ahead of most other places"
3184813,149,"Commercial accommodation","Ahead of most other places"
3184774,149,"Visitor transport","About average"
3184796,145,"Overall environmental management","Ahead of most other places"
3184793,163,"Overall environmental management","About average"
3184809,144,"Visitor transport","Amongst the best in the world"
3184875,163,"Visitor transport","Amongst the best in the world"
3184883,136,"Visitor transport","Don't know"
3184883,137,"Public infrastructure","Amongst the best in the world"
3184847,161,"Public infrastructure","Behind most other places"
3184793,161,"Visitor transport","Ahead of most other places"
3184796,143,"Visitor transport","Don't know"
3184863,167,"Overall environmental management","Ahead of most other places"
3184875,165,"Overall environmental management","Amongst the best in the world"
3184875,162,"Activity and attractions","Amongst the best in the world"
3184800,165,"Commercial accommodation","About average"
3184809,142,"Commercial accommodation","Amongst the best in the world"
3184891,149,"Activity and attractions","Amongst the best in the world"
3184812,137,"Activity and attractions","Ahead of most other places"
3184808,144,"Commercial accommodation","About average"
3184883,138,"Overall environmental management","About average"
3184891,148,"Commercial accommodation","About average"
3184800,168,"Public infrastructure","Don't know"
3184808,147,"Public infrastructure","About average"
3184813,151,"Visitor transport","About average"
3184812,136,"Commercial accommodation","Don't know"
3184800,167,"Visitor transport","Ahead of most other places"
3184891,150,"Visitor transport","Ahead of most other places"
3184813,152,"Public infrastructure","Amongst the best in the world"
3184808,146,"Visitor transport","Ahead of most other places"
3184812,139,"Public infrastructure","About average"
3184778,149,"Commercial accommodation","About average"
3184813,153,"Overall environmental management","Behind most other places"
3184895,146,"Commercial accommodation","About average"
3184817,152,"Commercial accommodation","Don't know"
3184816,141,"Commercial accommodation","Ahead of most other places"
3184778,151,"Visitor transport","Don't know"
3184817,155,"Public infrastructure","About average"
3184816,142,"Activity and attractions","Ahead of most other places"
3184817,154,"Visitor transport","Amongst the best in the world"
3184800,169,"Overall environmental management","Ahead of most other places"
3184808,148,"Overall environmental management","Ahead of most other places"
3184778,152,"Public infrastructure","Ahead of most other places"
3184812,138,"Visitor transport","Amongst the best in the world"
3184774,151,"Overall environmental management","Amongst the best in the world"
3184817,153,"Activity and attractions","Ahead of most other places"
3184891,151,"Public infrastructure","Amongst the best in the world"
3184895,147,"Activity and attractions","Amongst the best in the world"
3184821,158,"Commercial accommodation","About average"
3184816,143,"Visitor transport","Don't know"
3184816,145,"Overall environmental management","Ahead of most other places"
3184895,149,"Public infrastructure","Ahead of most other places"
3184821,160,"Visitor transport","Ahead of most other places"
3184820,141,"Overall environmental management","Ahead of most other places"
3184907,156,"Visitor transport","Ahead of most other places"
3184824,166,"Visitor transport","Don't know"
3184778,150,"Activity and attractions","Amongst the best in the world"
3184812,140,"Overall environmental management","Amongst the best in the world"
3184891,152,"Overall environmental management","About average"
3184778,153,"Overall environmental management","Amongst the best in the world"
3184895,148,"Visitor transport","Ahead of most other places"
3184817,156,"Overall environmental management","Amongst the best in the world"
3184821,162,"Overall environmental management","Amongst the best in the world"
3184824,167,"Public infrastructure","About average"
3184786,145,"Visitor transport","Ahead of most other places"
3184832,168,"Commercial accommodation","Ahead of most other places"
3184911,152,"Commercial accommodation","Ahead of most other places"
3184833,170,"Overall environmental management","Amongst the best in the world"
3184919,173,"Commercial accommodation","About average"
3184837,163,"Commercial accommodation","Ahead of most other places"
3184824,164,"Commercial accommodation","About average"
3184833,166,"Commercial accommodation","Ahead of most other places"
3184816,144,"Public infrastructure","Ahead of most other places"
3184820,139,"Visitor transport","Ahead of most other places"
3184833,169,"Public infrastructure","Don't know"
3184786,143,"Commercial accommodation","Amongst the best in the world"
3184790,164,"Commercial accommodation","Ahead of most other places"
3184820,137,"Commercial accommodation","Don't know"
3184907,154,"Commercial accommodation","About average"
3184821,161,"Public infrastructure","Amongst the best in the world"
3184895,150,"Overall environmental management","Amongst the best in the world"
3184820,140,"Public infrastructure","Ahead of most other places"
3184833,168,"Visitor transport","Ahead of most other places"
3184907,157,"Public infrastructure","Amongst the best in the world"
3184824,168,"Overall environmental management","Ahead of most other places"
3184786,146,"Public infrastructure","Ahead of most other places"
3184786,147,"Overall environmental management","Ahead of most other places"
3184907,158,"Overall environmental management","Amongst the best in the world"
3184911,154,"Visitor transport","Don't know"
3184911,156,"Overall environmental management","Ahead of most other places"
3184919,175,"Visitor transport","Amongst the best in the world"
3184911,155,"Public infrastructure","Amongst the best in the world"
