"SurveyResponseID","AnswerNumber","TravelledWith"
3184675,36,"My husband, wife or partner"
3184677,39,"My husband, wife or partner"
3184679,39,"My husband, wife or partner"
3184680,43,"My husband, wife or partner"
3184680,44,"Other person(s)"
3184685,46,"My husband, wife or partner"
3184685,47,"Other family / relative(s)"
3184689,38,"My husband, wife or partner"
3184689,39,"Other person(s)"
3184690,39,"Other person(s)"
3184692,41,"My husband, wife or partner"
3184693,40,"My husband, wife or partner"
3184693,41,"Other family / relative(s)"
3184693,42,"Other person(s)"
3184694,38,"My husband, wife or partner"
3184694,39,"Other family / relative(s)"
3184695,38,"My husband, wife or partner"
3184696,44,"Other person(s)"
3184700,42,"My husband, wife or partner"
3184701,42,"My husband, wife or partner"
3184702,39,"My husband, wife or partner"
3184705,37,"My husband, wife or partner"
3184705,38,"Other person(s)"
3184706,37,"My husband, wife or partner"
3184707,40,"My husband, wife or partner"
3184707,41,"Child/children aged under 15"
3184707,42,"Other person(s)"
3184709,52,"My husband, wife or partner"
3184709,53,"Child/children aged 15 or older"
3184710,44,"My husband, wife or partner"
3184710,45,"Child/children aged under 15"
3184710,46,"Other family / relative(s)"
3184711,47,"My husband, wife or partner"
3184711,48,"Child/children aged under 15"
3184717,38,"My husband, wife or partner"
3184717,39,"Child/children aged 15 or older"
3184720,38,"My husband, wife or partner"
3184720,39,"Child/children aged under 15"
3184720,40,"Other person(s)"
3184722,38,"My husband, wife or partner"
3184722,39,"Other family / relative(s)"
3184722,40,"Other person(s)"
3184723,35,"My husband, wife or partner"
3184723,36,"Other person(s)"
3184724,43,"My husband, wife or partner"
3184724,44,"Other family / relative(s)"
3184725,37,"Other family / relative(s)"
3184725,38,"Other person(s)"
3184726,38,"Other person(s)"
3184728,47,"My husband, wife or partner"
3184728,48,"Child/children aged under 15"
3184729,37,"My husband, wife or partner"
3184729,38,"Child/children aged 15 or older"
3184729,39,"Other person(s)"
3184730,51,"My husband, wife or partner"
3184730,52,"Other person(s)"
3184731,48,"My husband, wife or partner"
3184731,49,"Other person(s)"
3184732,37,"My husband, wife or partner"
3184735,36,"My husband, wife or partner"
3184735,37,"Other person(s)"
3184740,40,"Child/children aged 15 or older"
3184741,43,"My husband, wife or partner"
3184743,37,"My husband, wife or partner"
3184744,42,"My husband, wife or partner"
3184745,38,"Other person(s)"
3184747,41,"My husband, wife or partner"
3184747,42,"Child/children aged 15 or older"
3184747,43,"Other family / relative(s)"
3184748,37,"My husband, wife or partner"
3184748,38,"Other person(s)"
3184749,49,"My husband, wife or partner"
3184749,50,"Other family / relative(s)"
3184751,40,"Child/children aged 15 or older"
3184754,38,"Other person(s)"
3184757,45,"Other family / relative(s)"
3184759,37,"My husband, wife or partner"
3184761,38,"My husband, wife or partner"
3184762,38,"My husband, wife or partner"
3184762,39,"Child/children aged 15 or older"
3184762,40,"Other family / relative(s)"
3184764,37,"My husband, wife or partner"
3184764,38,"Child/children aged under 15"
3184766,39,"Other person(s)"
3184767,38,"My husband, wife or partner"
3184767,39,"Other person(s)"
3184768,38,"Other family / relative(s)"
3184768,39,"Other person(s)"
3184769,50,"My husband, wife or partner"
3184769,51,"Other person(s)"
3184771,50,"My husband, wife or partner"
3184771,51,"Other person(s)"
3184772,39,"Child/children aged under 15"
3184772,40,"Other person(s)"
3184773,39,"My husband, wife or partner"
3184773,40,"Other person(s)"
3184774,43,"Other family / relative(s)"
3184775,40,"My husband, wife or partner"
3184775,41,"Other person(s)"
3184776,43,"Other family / relative(s)"
3184777,42,"My husband, wife or partner"
3184777,43,"Child/children aged under 15"
3184777,44,"Other family / relative(s)"
3184777,45,"Other person(s)"
3184781,38,"Child/children aged under 15"
3184782,37,"My husband, wife or partner"
3184782,38,"Other family / relative(s)"
3184782,39,"Other person(s)"
3184783,38,"My husband, wife or partner"
3184787,36,"My husband, wife or partner"
3184788,38,"My husband, wife or partner"
3184788,39,"Other person(s)"
3184790,40,"My husband, wife or partner"
3184790,41,"Other person(s)"
3184792,43,"Other person(s)"
3184794,39,"My husband, wife or partner"
3184794,40,"Other person(s)"
3184797,38,"Other person(s)"
3184798,42,"Child/children aged 15 or older"
3184799,40,"My husband, wife or partner"
3184799,41,"Child/children aged under 15"
3184799,42,"Other person(s)"
3184800,41,"My husband, wife or partner"
3184800,42,"Child/children aged under 15"
3184800,43,"Other family / relative(s)"
3184800,44,"Other person(s)"
3184801,42,"Child/children aged 15 or older"
3184807,45,"My husband, wife or partner"
3184807,46,"Other person(s)"
3184809,37,"Other person(s)"
3184810,37,"My husband, wife or partner"
3184812,39,"My husband, wife or partner"
3184812,40,"Child/children aged 15 or older"
3184812,41,"Other family / relative(s)"
3184815,36,"My husband, wife or partner"
3184816,42,"My husband, wife or partner"
3184819,37,"My husband, wife or partner"
3184821,39,"My husband, wife or partner"
3184821,40,"Other person(s)"
3184822,37,"Other family / relative(s)"
3184823,40,"My husband, wife or partner"
3184823,41,"Other family / relative(s)"
3184824,42,"My husband, wife or partner"
3184824,43,"Child/children aged under 15"
3184826,38,"My husband, wife or partner"
3184826,39,"Other person(s)"
3184827,37,"Other person(s)"
3184829,41,"My husband, wife or partner"
3184829,42,"Child/children aged under 15"
3184829,43,"Other person(s)"
3184830,36,"My husband, wife or partner"
3184830,37,"Other family / relative(s)"
3184832,46,"Other person(s)"
3184833,39,"My husband, wife or partner"
3184833,40,"Child/children aged under 15"
3184833,41,"Child/children aged 15 or older"
3184833,42,"Other person(s)"
3184835,37,"My husband, wife or partner"
3184835,38,"Other person(s)"
3184841,36,"My husband, wife or partner"
3184845,37,"Other family / relative(s)"
3184845,38,"Other person(s)"
3184846,40,"My husband, wife or partner"
3184846,41,"Other family / relative(s)"
3184847,40,"Child/children aged 15 or older"
3184848,43,"My husband, wife or partner"
3184848,44,"Child/children aged under 15"
3184849,39,"My husband, wife or partner"
3184849,40,"Other family / relative(s)"
3184850,37,"Other person(s)"
3184852,39,"My husband, wife or partner"
3184852,40,"Child/children aged 15 or older"
3184854,41,"My husband, wife or partner"
3184855,40,"My husband, wife or partner"
3184855,41,"Child/children aged under 15"
3184857,37,"Other person(s)"
3184858,38,"My husband, wife or partner"
3184859,38,"My husband, wife or partner"
3184859,39,"Other family / relative(s)"
3184861,39,"Other person(s)"
3184862,37,"My husband, wife or partner"
3184863,39,"My husband, wife or partner"
3184863,40,"Child/children aged under 15"
3184864,39,"My husband, wife or partner"
3184865,49,"Child/children aged under 15"
3184866,38,"My husband, wife or partner"
3184868,46,"Child/children aged under 15"
3184869,44,"My husband, wife or partner"
3184869,45,"Other person(s)"
3184873,36,"My husband, wife or partner"
3184873,37,"Other person(s)"
3184875,37,"My husband, wife or partner"
3184875,38,"Other family / relative(s)"
3184876,36,"My husband, wife or partner"
3184877,40,"Other person(s)"
3184878,43,"My husband, wife or partner"
3184878,44,"Other person(s)"
3184880,37,"Other family / relative(s)"
3184882,38,"My husband, wife or partner"
3184884,40,"My husband, wife or partner"
3184885,41,"My husband, wife or partner"
3184885,42,"Other family / relative(s)"
3184886,40,"Other person(s)"
3184888,40,"Other person(s)"
3184889,37,"My husband, wife or partner"
3184889,38,"Other person(s)"
3184890,40,"Other person(s)"
3184891,40,"Other person(s)"
3184893,40,"Other person(s)"
3184898,40,"My husband, wife or partner"
3184900,37,"My husband, wife or partner"
3184901,42,"Other family / relative(s)"
3184901,43,"Other person(s)"
3184902,37,"My husband, wife or partner"
3184905,45,"My husband, wife or partner"
3184905,46,"Other person(s)"
3184907,39,"My husband, wife or partner"
3184907,40,"Other family / relative(s)"
3184907,41,"Other person(s)"
3184908,45,"My husband, wife or partner"
3184908,46,"Other family / relative(s)"
3184910,40,"Child/children aged under 15"
3184910,41,"Other person(s)"
3184911,39,"My husband, wife or partner"
3184912,37,"Other person(s)"
3184913,38,"My husband, wife or partner"
3184913,39,"Other family / relative(s)"
3184915,39,"My husband, wife or partner"
3184916,39,"Child/children aged under 15"
3184916,40,"Child/children aged 15 or older"
3184916,41,"Other person(s)"
3184917,37,"My husband, wife or partner"
3184918,38,"My husband, wife or partner"
3184922,41,"My husband, wife or partner"
3184925,41,"My husband, wife or partner"
3184925,42,"Child/children aged 15 or older"
3184928,37,"Other person(s)"
3184929,42,"My husband, wife or partner"
3184930,36,"My husband, wife or partner"
3184931,50,"Other person(s)"
3184933,36,"My husband, wife or partner"
3184933,37,"Other person(s)"
3184935,42,"My husband, wife or partner"
3184939,42,"My husband, wife or partner"
3184939,43,"Other family / relative(s)"
3184944,50,"My husband, wife or partner"
3184944,51,"Other family / relative(s)"
3184944,52,"Other person(s)"
3184946,47,"Child/children aged under 15"
3184947,43,"My husband, wife or partner"
3184948,38,"My husband, wife or partner"
3184948,39,"Child/children aged 15 or older"
3184949,47,"My husband, wife or partner"
3184949,48,"Child/children aged 15 or older"
3184949,49,"Other family / relative(s)"
3184951,35,"My husband, wife or partner"
3184951,36,"Other person(s)"
3184956,39,"My husband, wife or partner"
3184956,40,"Child/children aged 15 or older"
3184956,41,"Other family / relative(s)"
3184956,42,"Other person(s)"
3184957,42,"Other family / relative(s)"
3184957,43,"Other person(s)"
3184958,36,"My husband, wife or partner"
3184959,37,"My husband, wife or partner"
3184959,38,"Other person(s)"
3184960,36,"My husband, wife or partner"
3184961,37,"Other person(s)"
3184962,41,"Other family / relative(s)"
3184962,42,"Other person(s)"
3184963,48,"My husband, wife or partner"
3184965,37,"My husband, wife or partner"
3184966,38,"Child/children aged under 15"
3184967,39,"My husband, wife or partner"
3184967,40,"Child/children aged 15 or older"
3184968,37,"My husband, wife or partner"
3184968,38,"Other person(s)"
3184971,37,"My husband, wife or partner"
3184971,38,"Child/children aged 15 or older"
3184971,39,"Other family / relative(s)"
3184973,37,"My husband, wife or partner"
3184975,42,"Child/children aged under 15"
3184975,43,"Other person(s)"
3184977,53,"Other family / relative(s)"
3184978,40,"My husband, wife or partner"
3184978,41,"Other family / relative(s)"
3184979,38,"My husband, wife or partner"
3184979,39,"Child/children aged under 15"
3184985,41,"Child/children aged under 15"
3184987,38,"My husband, wife or partner"
3184987,39,"Child/children aged under 15"
3184987,40,"Other person(s)"
3184991,39,"My husband, wife or partner"
3184991,40,"Child/children aged 15 or older"
3184991,41,"Other person(s)"
3184992,41,"My husband, wife or partner"
3184992,42,"Child/children aged under 15"
3184992,43,"Other person(s)"
3184997,36,"My husband, wife or partner"
3184999,41,"Child/children aged 15 or older"
3185000,42,"My husband, wife or partner"
3185000,43,"Other family / relative(s)"
3185001,39,"My husband, wife or partner"
3185002,38,"Other family / relative(s)"
3185002,39,"Other person(s)"
3185005,43,"Other family / relative(s)"
3185006,40,"My husband, wife or partner"
3185008,37,"My husband, wife or partner"
3185008,38,"Other family / relative(s)"
3185008,39,"Other person(s)"
3185010,39,"My husband, wife or partner"
3185010,40,"Other family / relative(s)"
3185010,41,"Other person(s)"
3185011,38,"My husband, wife or partner"
3185011,39,"Other person(s)"
3185013,39,"My husband, wife or partner"
3185014,50,"My husband, wife or partner"
3185015,39,"My husband, wife or partner"
3185015,40,"Child/children aged under 15"
3185016,41,"My husband, wife or partner"
3185017,41,"My husband, wife or partner"
3185017,42,"Child/children aged under 15"
3185017,43,"Child/children aged 15 or older"
3185017,44,"Other person(s)"
3185018,39,"My husband, wife or partner"
3185019,38,"Other person(s)"
3185021,38,"My husband, wife or partner"
3185021,39,"Other person(s)"
3185022,40,"My husband, wife or partner"
3185022,41,"Other person(s)"
3185023,40,"My husband, wife or partner"
3185023,41,"Child/children aged under 15"
3185023,42,"Other family / relative(s)"
3185023,43,"Other person(s)"
3185024,36,"My husband, wife or partner"
3185024,37,"Other family / relative(s)"
3185025,38,"My husband, wife or partner"
3185025,39,"Child/children aged 15 or older"
3185025,40,"Other person(s)"
3185026,38,"My husband, wife or partner"
3185028,39,"My husband, wife or partner"
3185028,40,"Child/children aged 15 or older"
3185029,51,"My husband, wife or partner"
3185030,47,"My husband, wife or partner"
3185032,36,"Child/children aged 15 or older"
3185034,41,"Child/children aged under 15"
3185036,38,"Other person(s)"
3185037,38,"My husband, wife or partner"
3185039,38,"My husband, wife or partner"
3185039,39,"Other family / relative(s)"
3185040,37,"My husband, wife or partner"
3185040,38,"Child/children aged under 15"
3185040,39,"Other family / relative(s)"
3185041,40,"My husband, wife or partner"
3185044,43,"My husband, wife or partner"
3185044,44,"Other family / relative(s)"
3185044,45,"Other person(s)"
3185046,38,"My husband, wife or partner"
3185046,39,"Other family / relative(s)"
3185049,39,"Child/children aged under 15"
3185049,40,"Other family / relative(s)"
3185050,38,"Other family / relative(s)"
3185050,39,"Other person(s)"
3185052,38,"Child/children aged 15 or older"
3185054,38,"Other person(s)"
3185057,36,"Other family / relative(s)"
3185057,37,"Other person(s)"
3185058,40,"Child/children aged under 15"
3185059,42,"My husband, wife or partner"
3185059,43,"Other family / relative(s)"
3185061,38,"My husband, wife or partner"
3185064,41,"My husband, wife or partner"
3185067,36,"Other person(s)"
3185068,38,"My husband, wife or partner"
3185068,39,"Child/children aged under 15"
3185068,40,"Other family / relative(s)"
3185068,41,"Other person(s)"
3185069,46,"Other family / relative(s)"
3185070,40,"My husband, wife or partner"
3185070,41,"Child/children aged under 15"
3185070,42,"Other family / relative(s)"
3185075,37,"My husband, wife or partner"
3185075,38,"Child/children aged 15 or older"
3185076,41,"My husband, wife or partner"
3185076,42,"Other person(s)"
3185080,36,"My husband, wife or partner"
3185083,39,"Other person(s)"
3185084,39,"My husband, wife or partner"
3185085,40,"My husband, wife or partner"
3185088,38,"My husband, wife or partner"
3185089,37,"My husband, wife or partner"
3185089,38,"Other family / relative(s)"
3185089,39,"Other person(s)"
3185090,46,"My husband, wife or partner"
3185090,47,"Child/children aged 15 or older"
3185090,48,"Other person(s)"
3185094,42,"Other family / relative(s)"
3185094,43,"Other person(s)"
3185095,38,"My husband, wife or partner"
3185095,39,"Child/children aged under 15"
3185096,36,"My husband, wife or partner"
3185097,40,"My husband, wife or partner"
3185100,37,"My husband, wife or partner"
3185100,38,"Child/children aged under 15"
3185100,39,"Other family / relative(s)"
3185101,42,"Other person(s)"
3185106,40,"My husband, wife or partner"
3185106,41,"Other person(s)"
3185107,38,"My husband, wife or partner"
3185107,39,"Child/children aged 15 or older"
3185107,40,"Other family / relative(s)"
3185107,41,"Other person(s)"
3185109,38,"Other family / relative(s)"
3185111,38,"Other person(s)"
3185112,41,"My husband, wife or partner"
3185115,45,"My husband, wife or partner"
3185115,46,"Other person(s)"
3185117,41,"My husband, wife or partner"
3185119,37,"My husband, wife or partner"
3185119,38,"Child/children aged under 15"
3185119,39,"Other family / relative(s)"
3185122,38,"My husband, wife or partner"
3185122,39,"Child/children aged under 15"
3185128,44,"My husband, wife or partner"
3185128,45,"Child/children aged under 15"
3185128,46,"Child/children aged 15 or older"
3185129,37,"My husband, wife or partner"
3185129,38,"Other family / relative(s)"
3185131,38,"My husband, wife or partner"
3185134,41,"My husband, wife or partner"
3185134,42,"Child/children aged under 15"
3185134,43,"Other person(s)"
3185135,39,"My husband, wife or partner"
3185135,40,"Child/children aged under 15"
3185136,39,"Child/children aged 15 or older"
3185137,39,"My husband, wife or partner"
3185137,40,"Other family / relative(s)"
3185140,37,"Other family / relative(s)"
3185141,37,"My husband, wife or partner"
3185143,42,"My husband, wife or partner"
3185143,43,"Other family / relative(s)"
3185144,37,"My husband, wife or partner"
3185144,38,"Other person(s)"
3185146,41,"My husband, wife or partner"
3185147,36,"My husband, wife or partner"
3185149,38,"Other family / relative(s)"
3185149,39,"Other person(s)"
3185151,51,"My husband, wife or partner"
3185153,37,"My husband, wife or partner"
3185154,37,"My husband, wife or partner"
3185154,38,"Child/children aged under 15"
3185155,39,"My husband, wife or partner"
3185155,40,"Other family / relative(s)"
3185155,41,"Other person(s)"
3185156,38,"My husband, wife or partner"
3185156,39,"Other person(s)"
3185160,42,"My husband, wife or partner"
3185160,43,"Child/children aged under 15"
3185163,39,"My husband, wife or partner"
3185167,39,"My husband, wife or partner"
3185167,40,"Other person(s)"
3185170,52,"My husband, wife or partner"
3185170,53,"Child/children aged under 15"
3185170,54,"Other family / relative(s)"
3185171,46,"My husband, wife or partner"
3185172,40,"My husband, wife or partner"
3185172,41,"Other family / relative(s)"
3185173,39,"My husband, wife or partner"
3185173,40,"Other person(s)"
3185178,40,"My husband, wife or partner"
3185178,41,"Other person(s)"
3185179,42,"My husband, wife or partner"
3185179,43,"Child/children aged 15 or older"
3185182,40,"My husband, wife or partner"
3185182,41,"Other family / relative(s)"
3185182,42,"Other person(s)"
3185183,41,"Other family / relative(s)"
3185183,42,"Other person(s)"
3185185,49,"Child/children aged 15 or older"
3185186,38,"Child/children aged under 15"
3185188,37,"My husband, wife or partner"
3185189,40,"My husband, wife or partner"
3185189,41,"Other family / relative(s)"
3185190,41,"My husband, wife or partner"
3185190,42,"Other family / relative(s)"
3185191,38,"Other person(s)"
3185196,40,"Other person(s)"
3185197,40,"My husband, wife or partner"
3185198,43,"My husband, wife or partner"
3185201,44,"My husband, wife or partner"
3185201,45,"Other family / relative(s)"
3185201,46,"Other person(s)"
3185202,38,"My husband, wife or partner"
3185202,39,"Other person(s)"
3185204,36,"My husband, wife or partner"
3185204,37,"Other person(s)"
3185205,41,"My husband, wife or partner"
3185206,38,"My husband, wife or partner"
3185206,39,"Other family / relative(s)"
3185206,40,"Other person(s)"
3185207,35,"My husband, wife or partner"
3185208,36,"My husband, wife or partner"
3185208,37,"Child/children aged under 15"
3185210,39,"My husband, wife or partner"
3185210,40,"Child/children aged under 15"
3185212,42,"My husband, wife or partner"
3185212,43,"Other family / relative(s)"
3185212,44,"Other person(s)"
3185213,39,"Child/children aged 15 or older"
3185213,40,"Other person(s)"
3185216,38,"My husband, wife or partner"
3185216,39,"Child/children aged 15 or older"
3185216,40,"Other family / relative(s)"
3185216,41,"Other person(s)"
3185217,37,"My husband, wife or partner"
3185218,44,"My husband, wife or partner"
3185218,45,"Child/children aged 15 or older"
3185218,46,"Other person(s)"
3185219,45,"Other person(s)"
3185222,39,"Other person(s)"
3185223,37,"My husband, wife or partner"
3185223,38,"Other family / relative(s)"
3185223,39,"Other person(s)"
3185226,38,"Other person(s)"
3185227,44,"My husband, wife or partner"
3185229,37,"My husband, wife or partner"
3185231,43,"My husband, wife or partner"
3185231,44,"Child/children aged under 15"
3185231,45,"Other family / relative(s)"
3185232,41,"My husband, wife or partner"
3185233,40,"My husband, wife or partner"
3185233,41,"Other person(s)"
3185234,38,"My husband, wife or partner"
3185235,47,"My husband, wife or partner"
3185236,40,"My husband, wife or partner"
3185240,38,"My husband, wife or partner"
3185244,38,"My husband, wife or partner"
3185244,39,"Other person(s)"
3185246,38,"Other person(s)"
3185247,36,"Other person(s)"
3185248,37,"Other person(s)"
3185249,44,"My husband, wife or partner"
3185251,36,"My husband, wife or partner"
3185252,36,"Other person(s)"
3185253,39,"My husband, wife or partner"
3185253,40,"Child/children aged under 15"
3185255,41,"My husband, wife or partner"
3185255,42,"Other person(s)"
3185257,39,"Child/children aged under 15"
3185259,39,"My husband, wife or partner"
3185260,40,"My husband, wife or partner"
3185260,41,"Child/children aged under 15"
3185261,38,"Other person(s)"
3185263,35,"My husband, wife or partner"
3185264,40,"Other family / relative(s)"
3185266,38,"My husband, wife or partner"
3185267,38,"Other family / relative(s)"
3185268,39,"My husband, wife or partner"
3185268,40,"Other person(s)"
3185270,36,"Child/children aged 15 or older"
3185271,40,"Child/children aged under 15"
3185271,41,"Other person(s)"
3185272,42,"My husband, wife or partner"
3185273,35,"My husband, wife or partner"
3185274,37,"My husband, wife or partner"
3185275,40,"My husband, wife or partner"
3185276,37,"Other family / relative(s)"
3185277,43,"My husband, wife or partner"
3185277,44,"Child/children aged under 15"
3185277,45,"Other family / relative(s)"
3185278,38,"My husband, wife or partner"
3185279,38,"My husband, wife or partner"
3185282,43,"My husband, wife or partner"
3185283,38,"Other person(s)"
3185285,42,"My husband, wife or partner"
3185285,43,"Other family / relative(s)"
3185286,38,"My husband, wife or partner"
3185287,37,"My husband, wife or partner"
3185287,38,"Other family / relative(s)"
3185289,37,"Other person(s)"
3185291,48,"My husband, wife or partner"
3185291,49,"Other person(s)"
3185292,37,"My husband, wife or partner"
3185295,43,"Other person(s)"
3185296,38,"My husband, wife or partner"
3185296,39,"Other family / relative(s)"
3185296,40,"Other person(s)"
3185299,42,"My husband, wife or partner"
3185300,37,"Other family / relative(s)"
3185300,38,"Other person(s)"
3185303,40,"My husband, wife or partner"
3185304,37,"Other person(s)"
3185307,37,"My husband, wife or partner"
3185309,39,"My husband, wife or partner"
3185309,40,"Other person(s)"
3185310,39,"My husband, wife or partner"
3185311,40,"Child/children aged under 15"
3185313,39,"My husband, wife or partner"
3185314,38,"My husband, wife or partner"
3185314,39,"Child/children aged under 15"
3185314,40,"Other person(s)"
3185315,37,"My husband, wife or partner"
3185319,48,"Other family / relative(s)"
3185321,42,"My husband, wife or partner"
3185322,37,"My husband, wife or partner"
3185323,38,"My husband, wife or partner"
3185324,43,"My husband, wife or partner"
3185324,44,"Child/children aged under 15"
3185326,37,"My husband, wife or partner"
3185328,40,"My husband, wife or partner"
3185330,43,"My husband, wife or partner"
3185330,44,"Child/children aged 15 or older"
3185333,39,"Other person(s)"
3185335,36,"My husband, wife or partner"
3185335,37,"Other person(s)"
3185336,38,"My husband, wife or partner"
3185336,39,"Child/children aged under 15"
3185336,40,"Other family / relative(s)"
3185336,41,"Other person(s)"
3185337,38,"My husband, wife or partner"
3185337,39,"Child/children aged 15 or older"
3185337,40,"Other family / relative(s)"
3185337,41,"Other person(s)"
3185338,40,"My husband, wife or partner"
3185338,41,"Other person(s)"
3185339,38,"My husband, wife or partner"
3185339,39,"Other family / relative(s)"
3185341,35,"My husband, wife or partner"
3185347,43,"Child/children aged under 15"
3185348,43,"My husband, wife or partner"
3185348,44,"Child/children aged under 15"
3185348,45,"Child/children aged 15 or older"
3185349,44,"Child/children aged under 15"
3185350,39,"My husband, wife or partner"
3185350,40,"Other person(s)"
3185351,38,"My husband, wife or partner"
3185352,41,"My husband, wife or partner"
3185352,42,"Other person(s)"
3185353,38,"My husband, wife or partner"
3185354,39,"My husband, wife or partner"
3185355,36,"My husband, wife or partner"
3185359,39,"My husband, wife or partner"
3185359,40,"Other person(s)"
3185361,38,"Other person(s)"
3185365,38,"My husband, wife or partner"
3185365,39,"Child/children aged under 15"
3185365,40,"Other family / relative(s)"
3185366,41,"Child/children aged 15 or older"
3185366,42,"Other family / relative(s)"
3185366,43,"Other person(s)"
3185369,37,"My husband, wife or partner"
3185369,38,"Child/children aged under 15"
3185369,39,"Other person(s)"
3185371,41,"My husband, wife or partner"
3185372,40,"My husband, wife or partner"
3185372,41,"Other family / relative(s)"
3185375,38,"My husband, wife or partner"
3185376,38,"My husband, wife or partner"
3185378,38,"Other family / relative(s)"
3185379,38,"Child/children aged under 15"
3185381,38,"My husband, wife or partner"
3185381,39,"Other person(s)"
3185382,37,"My husband, wife or partner"
3185384,39,"My husband, wife or partner"
3185384,40,"Other person(s)"
3185386,39,"My husband, wife or partner"
3185387,39,"Other family / relative(s)"
3185389,36,"My husband, wife or partner"
3185389,37,"Other family / relative(s)"
3185392,39,"My husband, wife or partner"
3185392,40,"Other person(s)"
3185393,36,"My husband, wife or partner"
3185395,43,"My husband, wife or partner"
3185396,43,"Child/children aged under 15"
3185399,38,"My husband, wife or partner"
3185399,39,"Other family / relative(s)"
3185401,39,"Child/children aged 15 or older"
3185401,40,"Other family / relative(s)"
3185404,36,"My husband, wife or partner"
3185404,37,"Child/children aged under 15"
3185405,42,"My husband, wife or partner"
3185408,40,"Child/children aged 15 or older"
3185409,38,"Child/children aged 15 or older"
3185410,39,"My husband, wife or partner"
3185411,42,"My husband, wife or partner"
3185411,43,"Other family / relative(s)"
3185414,40,"My husband, wife or partner"
3185414,41,"Child/children aged under 15"
3185414,42,"Child/children aged 15 or older"
3185414,43,"Other person(s)"
3185417,46,"My husband, wife or partner"
3185417,47,"Other family / relative(s)"
3185420,39,"Other family / relative(s)"
3185421,37,"Child/children aged under 15"
3185426,41,"Child/children aged under 15"
3185431,42,"Other person(s)"
3185432,40,"My husband, wife or partner"
3185432,41,"Child/children aged under 15"
3185432,42,"Child/children aged 15 or older"
3185432,43,"Other person(s)"
3185434,47,"My husband, wife or partner"
3185434,48,"Other person(s)"
3185435,37,"Other family / relative(s)"
3185435,38,"Other person(s)"
3185436,43,"My husband, wife or partner"
3185436,44,"Other family / relative(s)"
3185438,38,"My husband, wife or partner"
3185439,37,"My husband, wife or partner"
3185439,38,"Other person(s)"
3185440,38,"My husband, wife or partner"
3185440,39,"Other family / relative(s)"
3185441,39,"My husband, wife or partner"
3185441,40,"Other person(s)"
3185442,38,"My husband, wife or partner"
3185442,39,"Other family / relative(s)"
3185442,40,"Other person(s)"
3185443,37,"Other person(s)"
3185444,44,"My husband, wife or partner"
3185445,41,"My husband, wife or partner"
3185447,38,"My husband, wife or partner"
3185447,39,"Other person(s)"
3185448,39,"Other person(s)"
3185449,38,"My husband, wife or partner"
3185449,39,"Other person(s)"
3185450,39,"My husband, wife or partner"
